sampleID,isIncluded,subjectID,measurementID,perturbID,window,cohort
1,1,2,1,0,0,healthy
2,1,2,1.5,0,0,healthy
3,1,2,2,0,0,healthy
4,1,2,2.5,0,0,healthy
5,1,2,3,0,0,healthy
6,1,2,3.5,0,0,healthy
7,1,2,4,0,0,healthy
8,1,2,4.5,0,0,healthy
9,1,2,5,0,0,healthy
10,1,2,6,0,0,healthy
11,1,2,7,0,0,healthy
12,1,2,8,0,0,healthy
13,1,2,9,0,0,healthy
14,1,2,10,0,0,healthy
15,1,2,11,0,0,healthy
16,1,2,14,0,0,healthy
17,1,2,16,0,0,healthy
18,1,2,18,0,0,healthy
19,1,2,21,0,0,healthy
20,1,2,21.5,0,0,healthy
21,1,2,22,1,1,healthy
22,1,2,22.5,1,1,healthy
23,1,2,23,1,1,healthy
24,1,2,23.5,1,1,healthy
25,1,2,24,1,1,healthy
26,1,2,25,1,1,healthy
27,1,2,28,1,1,healthy
28,1,2,28.5,1,1,healthy
29,1,2,29,0,1.5,healthy
30,1,2,29.5,0,1.5,healthy
31,1,2,30,0,1.5,healthy
32,1,2,30.5,0,1.5,healthy
33,1,2,31,0,1.5,healthy
34,1,2,31.5,0,1.5,healthy
35,1,2,32,0,1.5,healthy
36,1,2,33,0,1.5,healthy
37,1,2,35,0,1.5,healthy
38,1,2,35.5,0,1.5,healthy
39,1,2,36,2,2,healthy
40,1,2,36.5,2,2,healthy
41,1,2,37,2,2,healthy
42,1,2,37.5,2,2,healthy
43,1,2,38,2,2,healthy
44,1,2,39,2,2,healthy
45,1,2,42,2,2,healthy
46,1,2,42.5,2,2,healthy
47,1,2,43,0,2.5,healthy
48,1,2,43.5,0,2.5,healthy
49,1,2,44,0,2.5,healthy
50,1,2,44.5,0,2.5,healthy
51,1,2,45,0,2.5,healthy
52,1,2,45.5,0,2.5,healthy
53,1,2,46,0,2.5,healthy
54,1,2,47,0,2.5,healthy
55,1,2,50,0,2.5,healthy
56,1,2,50.5,0,2.5,healthy
57,1,2,51,3,3,healthy
58,1,2,51.5,3,3,healthy
59,1,2,52,3,3,healthy
60,1,2,52.5,3,3,healthy
61,1,2,53,3,3,healthy
62,1,2,54,3,3,healthy
63,1,2,57,3,3,healthy
64,1,2,57.5,3,3,healthy
65,1,2,58,0,0,healthy
66,1,2,58.5,0,0,healthy
67,1,2,59,0,0,healthy
68,1,2,59.5,0,0,healthy
69,1,2,60,0,0,healthy
70,1,2,60.5,0,0,healthy
71,1,2,61,0,0,healthy
72,1,2,62,0,0,healthy
73,1,2,63,0,0,healthy
74,1,2,64,0,0,healthy
75,1,2,64.5,0,0,healthy
76,1,3,1,0,0,healthy
77,1,3,1.5,0,0,healthy
78,1,3,2,0,0,healthy
79,1,3,2.5,0,0,healthy
80,1,3,3,0,0,healthy
81,1,3,3.5,0,0,healthy
82,1,3,4,0,0,healthy
83,1,3,4.5,0,0,healthy
84,1,3,5,0,0,healthy
85,1,3,6,0,0,healthy
86,1,3,7,0,0,healthy
87,1,3,8,0,0,healthy
88,1,3,9,0,0,healthy
89,1,3,10,0,0,healthy
90,1,3,11,0,0,healthy
91,1,3,14,0,0,healthy
92,1,3,16,0,0,healthy
93,1,3,18,0,0,healthy
94,1,3,21,0,0,healthy
95,1,3,21.5,0,0,healthy
96,1,3,22,1,1,healthy
97,1,3,22.5,1,1,healthy
98,1,3,23,1,1,healthy
99,1,3,23.5,1,1,healthy
100,1,3,24,1,1,healthy
101,1,3,25,1,1,healthy
102,1,3,28,1,1,healthy
103,1,3,29,0,1.5,healthy
104,1,3,29.5,0,1.5,healthy
105,1,3,30,0,1.5,healthy
106,1,3,30.5,0,1.5,healthy
107,1,3,31,0,1.5,healthy
108,1,3,31.5,0,1.5,healthy
109,1,3,32,0,1.5,healthy
110,1,3,33,0,1.5,healthy
111,1,3,35,0,1.5,healthy
112,1,3,35.5,0,1.5,healthy
113,1,3,36,2,2,healthy
114,1,3,36.5,2,2,healthy
115,1,3,37,2,2,healthy
116,1,3,38,2,2,healthy
117,1,3,39,2,2,healthy
118,1,3,42,2,2,healthy
119,1,3,42.5,2,2,healthy
120,1,3,43,0,2.5,healthy
121,1,3,43.5,0,2.5,healthy
122,1,3,44,0,2.5,healthy
123,1,3,44.5,0,2.5,healthy
124,1,3,45,0,2.5,healthy
125,1,3,45.5,0,2.5,healthy
126,1,3,46,0,2.5,healthy
127,1,3,47,0,2.5,healthy
128,1,3,50,0,2.5,healthy
129,1,3,50.5,0,2.5,healthy
130,1,3,51,3,3,healthy
131,1,3,51.5,3,3,healthy
132,1,3,52,3,3,healthy
133,1,3,52.5,3,3,healthy
134,1,3,53,3,3,healthy
135,1,3,54,3,3,healthy
136,1,3,57,3,3,healthy
137,1,3,57.5,3,3,healthy
138,1,3,58,0,0,healthy
139,1,3,58.5,0,0,healthy
140,1,3,59,0,0,healthy
141,1,3,59.5,0,0,healthy
142,1,3,60,0,0,healthy
143,1,3,60.5,0,0,healthy
144,1,3,61,0,0,healthy
145,1,3,62,0,0,healthy
146,1,3,63,0,0,healthy
147,1,3,64,0,0,healthy
148,1,3,64.5,0,0,healthy
149,1,4,1,0,0,healthy
150,1,4,1.5,0,0,healthy
151,1,4,2,0,0,healthy
152,1,4,2.5,0,0,healthy
153,1,4,3,0,0,healthy
154,1,4,3.5,0,0,healthy
155,1,4,4,0,0,healthy
156,1,4,4.5,0,0,healthy
157,1,4,5,0,0,healthy
158,1,4,6,0,0,healthy
159,1,4,7,0,0,healthy
160,1,4,8,0,0,healthy
161,1,4,9,0,0,healthy
162,1,4,10,0,0,healthy
163,1,4,11,0,0,healthy
164,1,4,14,0,0,healthy
165,1,4,16,0,0,healthy
166,1,4,18,0,0,healthy
167,1,4,21,0,0,healthy
168,1,4,21.5,0,0,healthy
169,1,4,22,1,1,healthy
170,1,4,22.5,1,1,healthy
171,1,4,23,1,1,healthy
172,1,4,23.5,1,1,healthy
173,1,4,24,1,1,healthy
