,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Actinobacteria Actinobacteria Bifidobacteriales Bifidobacteriaceae,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria Actinobacteria Geodermatophilales Geodermatophilaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria Actinobacteria Mycobacteriales Lawsonellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria Actinobacteria Propionibacteriales Nocardioidaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria Actinobacteria Streptosporangiales Nocardiopsaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria Coriobacteriia Coriobacteriales Coriobacteriaceae,12,0,0,4,0,0,11,0,0,23,0,0,15,0,0,6,0,0,12,6,0,48,0,0
Actinobacteria Coriobacteriia Eggerthellales Eggerthellaceae,3,2,0,7,0,11,6,2,0,1,0,2,0,0,0,0,0,2,0,5,0,6,0,0
Bacteroidetes Bacteroidia Bacteroidales Bacteroidaceae,206388,101290,146945,29839,145227,77676,186431,113341,163215,46185,118746,74577,197914,95382,133083,39412,117260,128185,180241,145524,146708,45892,145292,90246
Bacteroidetes Bacteroidia Bacteroidales Barnesiellaceae,1319,350,751,657,1201,84,1741,967,1636,990,863,726,1596,651,1175,1453,960,2214,1690,2602,886,1662,342,1384
Bacteroidetes Bacteroidia Bacteroidales Muribaculaceae,12,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes Bacteroidia Bacteroidales Odoribacteraceae,1021,212,698,363,485,67,770,576,1069,535,600,167,1010,285,1584,547,625,437,886,596,1115,375,164,213
Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae,10611,7965,25865,7616,11289,39109,10339,6317,32277,5863,15310,33720,10676,8749,33933,7971,8645,20383,7736,18328,37287,5623,7564,27949
Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae,3967,7598,2912,2,3064,19185,3803,12911,2384,0,550,12287,2463,8143,2937,1,3233,2912,2866,449,2216,1,4790,13898
Bacteroidetes Bacteroidia Bacteroidales Rikenellaceae,5207,1526,1057,989,501,53,5185,3638,3778,1929,1836,235,7543,1924,2295,1580,2235,1976,3407,3037,682,2088,128,1226
Bacteroidetes Bacteroidia Bacteroidales unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes Chitinophagia Chitinophagales Chitinophagaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes Cytophagia Cytophagales Cytophagaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes Flavobacteriia Flavobacteriales Weeksellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes unknown unknown unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chloroflexi Anaerolineae Anaerolineales Anaerolineaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chloroflexi Caldilineae Caldilineales Caldilineaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyanobacteria/Chloroplast Chloroplast Chloroplast Streptophyta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deinococcus-Thermus Deinococci Deinococcales Deinococcaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes Bacilli Bacillales Bacillaceae_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes Bacilli Bacillales Bacillales_Incertae_Sedis_X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
