"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae",5208.25293254433,-11.2246025468826,1.0531344202638,-10.6582809667079,1.59518584069323e-26,4.14748318580239e-25
"Proteobacteria Betaproteobacteria Burkholderiales Sutterellaceae",8485.34602179519,-3.77676528884354,0.513607410637347,-7.35340886954273,1.93214752690773e-13,2.51179178498005e-12
"Bacteroidetes Bacteroidia Bacteroidales Bacteroidaceae",112776.074531921,-1.83541424192609,0.271485615502168,-6.76063163984255,1.37391431210816e-11,1.1907257371604e-10
"Proteobacteria Gammaproteobacteria Enterobacterales Enterobacteriaceae",12662.2128118809,8.22817375322127,1.22893439859271,6.69537264368513,2.15122728797987e-11,1.39829773718691e-10
"Proteobacteria Deltaproteobacteria Desulfovibrionales Desulfovibrionaceae",3555.40438320501,2.88038609341255,0.473698056746878,6.08063734352978,1.19705764740534e-09,6.22469976650776e-09
"Firmicutes Clostridia Clostridiales Christensenellaceae",193.032732135399,5.63254900293943,1.23863227314452,4.54739402893165,5.43142528899616e-06,2.35361762523167e-05
"Firmicutes Erysipelotrichia Erysipelotrichales Erysipelotrichaceae",3153.2890527364,2.35686805825801,0.563502487698477,4.18253354636323,2.8827846454232e-05,0.000107074858258576
"Proteobacteria Betaproteobacteria Burkholderiales Oxalobacteraceae",32.1435731180938,-6.81765205965519,1.89557198503154,-3.59661997196152,0.000322378932737888,0.00104773153139814
"Proteobacteria unknown unknown unknown",446.144972801201,-5.2556512208356,1.6246584254024,-3.23492688595995,0.00121673883599477,0.00351502330398488
"Firmicutes unknown unknown unknown",143.987691017991,5.21558028086885,1.64035377886243,3.17954599067391,0.00147505960111683,0.00383515496290377
"Firmicutes Bacilli Lactobacillales Streptococcaceae",42.9791108586708,6.35919001840707,2.04703491198602,3.10653715829274,0.00189292516840172,0.0043474038027685
"Firmicutes Clostridia Clostridiales Peptostreptococcaceae",20.6463954132571,7.53654884639095,2.43958939118629,3.08926939657094,0.00200649406281623,0.0043474038027685
"Firmicutes Negativicutes Acidaminococcales Acidaminococcaceae",6339.7773393687,-0.895350823884574,0.367260880346085,-2.43791504023202,0.0147722454420822,0.0295444908841644
"Bacteroidetes Bacteroidia Bacteroidales Rikenellaceae",1799.00051108447,-1.27855504554738,0.713773214954203,-1.79126229278499,0.0732512140718298,0.136037968990541
"Verrucomicrobia Verrucomicrobiae Verrucomicrobiales Akkermansiaceae",26012.9877346917,1.2066636160076,0.713817503112866,1.69043713658672,0.0909443553587601,0.157636882621851
"Firmicutes Erysipelotrichia Erysipelotrichales Erysipelatoclostridiaceae",126.204266813263,1.43862837437558,0.893214252985609,1.61061959050351,0.107262661234667,0.174301824506334
"Bacteroidetes Bacteroidia Bacteroidales Odoribacteraceae",523.985712000456,-0.562620564729004,0.420625339965842,-1.33758124219215,0.181032982510136,0.265123705255365
"Firmicutes Clostridia Clostridiales unknown",128.909129068173,-0.82482282660016,0.620208452556039,-1.32991226288654,0.183547180561406,0.265123705255365
"Firmicutes Clostridia Clostridiales Clostridiales_Incertae_Sedis_XIII",43.2624118517195,1.23619804001208,1.00954147861747,1.22451436240639,0.220758251632356,0.301729367724651
"Firmicutes Clostridia Clostridiales Eubacteriaceae",37.8012851926391,1.303854013963,1.09112039834352,1.19496804930275,0.232099513634347,0.301729367724651
"Firmicutes Clostridia Clostridiales Ruminococcaceae",2823.28925979328,0.576608340080723,0.502327481691511,1.14787337164808,0.251020842362234,0.310787709591337
"Actinobacteria Coriobacteriia Coriobacteriales Coriobacteriaceae",3.6794098781055,0.957212227154835,2.3150063782432,0.413481464306477,0.679253899999892,0.802754609090781
"Firmicutes Clostridia Clostridiales Lachnospiraceae",12571.5549660499,0.128674093425714,0.438179444994258,0.293656160496986,0.769020656826905,0.869327699021718
"Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae",16846.3743267592,-0.041262144425658,0.31810483631346,-0.12971240834892,0.896793965069837,0.936017924435719
"Firmicutes Clostridia unknown unknown",20.642920207064,-0.275618423837434,2.1937229920251,-0.125639574750047,0.900017235034345,0.936017924435719
"Bacteroidetes Bacteroidia Bacteroidales Barnesiellaceae",1015.27836835821,-0.0285897669537474,0.567423952281572,-0.0503851958289564,0.959815433419234,0.959815433419234
