"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Firmicutes Negativicutes Acidaminococcales Acidaminococcaceae",3882.37243338629,-10.2616524366454,0.36313125067687,-28.2587973839152,1.10974687580504e-175,2.21949375161008e-174
"Bacteroidetes Bacteroidia Bacteroidales Barnesiellaceae",671.480239807454,-9.51141879648709,0.772629425940141,-12.3104537274302,7.95745705628694e-35,7.95745705628694e-34
"Bacteroidetes Bacteroidia Bacteroidales Odoribacteraceae",383.563005207861,-11.0204844772851,0.980495861383777,-11.2397052464167,2.60249824659322e-29,1.73499883106215e-28
"Bacteroidetes Bacteroidia Bacteroidales Rikenellaceae",2378.94498038987,-3.63713826848494,0.324596338666505,-11.2051118118796,3.84867495915969e-29,1.92433747957985e-28
"Proteobacteria Deltaproteobacteria Desulfovibrionales Desulfovibrionaceae",956.341577719549,-6.58928536118308,0.636602976455526,-10.3506983235782,4.15444412047813e-25,1.66177764819125e-24
"Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae",1374.55178198309,-9.0560196692586,1.13622921081034,-7.97024014441593,1.5836632738048e-15,4.8181377045244e-15
"Proteobacteria unknown unknown unknown",349.210813185492,-12.040118838556,1.51210802031251,-7.96247270487172,1.68634819658354e-15,4.8181377045244e-15
"Firmicutes Clostridia Clostridiales unknown",174.774354259195,-6.88194020196941,1.24430328488054,-5.53075788321987,3.18850166733089e-08,6.47499414802706e-08
"Verrucomicrobia Verrucomicrobiae Verrucomicrobiales Akkermansiaceae",67257.8474703682,1.08643751545569,0.196475715803814,5.5296274708093,3.20911541004036e-08,6.47499414802706e-08
"Proteobacteria Betaproteobacteria Burkholderiales Oxalobacteraceae",33.3771061757837,-8.65284026157299,1.56525163590098,-5.52808255433784,3.23749707401353e-08,6.47499414802706e-08
"Firmicutes Negativicutes Veillonellales Veillonellaceae",135.451872810279,10.4689827554862,2.61872112981236,3.99774631834753,6.39484317276745e-05,0.000116269875868499
"Firmicutes Erysipelotrichia Erysipelotrichales Erysipelatoclostridiaceae",26.7820154680804,-3.90350047616877,1.00236292009044,-3.8942985598635,9.84832923737718e-05,0.000164138820622953
"Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae",10882.1608103755,0.426110565090414,0.166687922883306,2.55633736217785,0.0105780507197597,0.0162739241842457
"Firmicutes Clostridia Clostridiales Lachnospiraceae",31092.9307177186,0.638735465846848,0.283150144554614,2.25581896435744,0.0240819711601728,0.0344028159431039
"Bacteroidetes Bacteroidia Bacteroidales Bacteroidaceae",205392.193935699,0.315965079926829,0.144625408936302,2.18471347635733,0.0289098614596492,0.0369148671423366
"Proteobacteria Betaproteobacteria Burkholderiales Sutterellaceae",23333.5919466094,0.411205075733316,0.188945776887177,2.1763126041121,0.0295318937138693,0.0369148671423366
"Firmicutes unknown unknown unknown",17.4154703363117,-5.29952565601288,2.51777534938678,-2.10484452367985,0.0353048440677838,0.0415351106679809
"Firmicutes Erysipelotrichia Erysipelotrichales Erysipelotrichaceae",693.502350155253,0.302013935558135,0.176091764939979,1.71509403441483,0.0863279878930029,0.095919986547781
"Firmicutes Clostridia Clostridiales Ruminococcaceae",7303.37301469306,-0.214804187488933,0.258976617990212,-0.829434676983276,0.406858486033128,0.428272090561187
"Firmicutes Clostridia Clostridiales Clostridiaceae_1",21.201280184761,1.16701220956584,1.90241728765287,0.613436503726082,0.539587755422351,0.539587755422351
"Firmicutes Clostridia Clostridiales Eubacteriaceae",14.0805108148707,-7.40867520195322,2.45937807071247,-3.01241817603382,NA,NA
