,0,1,2,3,4,5,6,7,8
Actinobacteria Actinobacteria Bifidobacteriales Bifidobacteriaceae,0,0,0,0,6,0,0,0,5
Actinobacteria Actinobacteria Geodermatophilales Geodermatophilaceae,0,0,0,0,0,0,0,0,0
Actinobacteria Actinobacteria Mycobacteriales Lawsonellaceae,0,0,0,0,0,0,0,0,0
Actinobacteria Actinobacteria Propionibacteriales Nocardioidaceae,0,0,0,0,0,0,0,0,0
Actinobacteria Actinobacteria Streptosporangiales Nocardiopsaceae,0,0,0,0,0,0,0,0,0
Actinobacteria Coriobacteriia Coriobacteriales Coriobacteriaceae,12,11,15,12,0,0,0,0,0
Actinobacteria Coriobacteriia Eggerthellales Eggerthellaceae,3,6,0,0,10,10,3,1,0
Bacteroidetes Bacteroidia Bacteroidales Bacteroidaceae,206388,186431,197914,180241,237929,242106,235740,193747,194223
Bacteroidetes Bacteroidia Bacteroidales Barnesiellaceae,1319,1741,1596,1690,5,6,0,0,0
Bacteroidetes Bacteroidia Bacteroidales Muribaculaceae,12,3,5,0,0,0,14,7,0
Bacteroidetes Bacteroidia Bacteroidales Odoribacteraceae,1021,770,1010,886,0,1,0,1,0
Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae,10611,10339,10676,7736,12363,11295,12564,13291,10286
Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae,3967,3803,2463,2866,0,0,28,1,2
Bacteroidetes Bacteroidia Bacteroidales Rikenellaceae,5207,5185,7543,3407,319,418,291,359,449
Bacteroidetes Bacteroidia Bacteroidales unknown,0,0,0,0,0,0,0,0,0
Bacteroidetes Chitinophagia Chitinophagales Chitinophagaceae,0,0,0,0,0,0,0,0,0
Bacteroidetes Cytophagia Cytophagales Cytophagaceae,0,0,0,0,0,0,0,0,0
Bacteroidetes Flavobacteriia Flavobacteriales Weeksellaceae,0,0,0,0,0,0,0,0,0
Bacteroidetes unknown unknown unknown,0,0,0,0,0,0,0,0,0
Chloroflexi Anaerolineae Anaerolineales Anaerolineaceae,0,0,0,0,0,0,0,0,0
Chloroflexi Caldilineae Caldilineales Caldilineaceae,0,0,0,0,0,0,0,0,0
Cyanobacteria/Chloroplast Chloroplast Chloroplast Streptophyta,0,0,0,0,0,0,0,0,0
Deinococcus-Thermus Deinococci Deinococcales Deinococcaceae,0,0,0,0,0,0,0,0,0
Firmicutes Bacilli Bacillales Bacillaceae_1,0,0,0,0,0,0,0,0,0
Firmicutes Bacilli Bacillales Bacillales_Incertae_Sedis_X,0,0,0,0,0,0,0,0,0
Firmicutes Bacilli Bacillales Paenibacillaceae_1,0,0,0,0,0,0,0,0,0
Firmicutes Bacilli Lactobacillales Enterococcaceae,0,0,0,0,1,0,0,3,1
Firmicutes Bacilli Lactobacillales Lactobacillaceae,0,0,0,0,1,0,1,0,0
Firmicutes Bacilli Lactobacillales Streptococcaceae,11,9,0,0,1,0,4,5,1
Firmicutes Bacilli Lactobacillales unknown,0,0,0,0,0,0,0,0,0
Firmicutes Clostridia Clostridiales Catabacteriaceae,0,0,0,0,0,0,0,0,0
Firmicutes Clostridia Clostridiales Christensenellaceae,0,2,8,4,0,0,0,0,0
Firmicutes Clostridia Clostridiales Clostridiaceae_1,0,3,50,6,106,6,0,21,13
Firmicutes Clostridia Clostridiales Clostridiales_Incertae_Sedis_XIII,8,8,12,31,0,0,0,11,4
Firmicutes Clostridia Clostridiales Eubacteriaceae,9,13,125,5,0,0,0,0,0
Firmicutes Clostridia Clostridiales Lachnospiraceae,16186,21100,27804,33416,42739,36270,37196,32315,32294
Firmicutes Clostridia Clostridiales Peptostreptococcaceae,0,1,4,0,4,0,0,0,2
Firmicutes Clostridia Clostridiales Ruminococcaceae,11492,9191,10934,3584,7456,8793,8487,5132,4652
Firmicutes Clostridia Clostridiales unknown,232,282,994,248,2,1,0,13,0
Firmicutes Clostridia unknown unknown,0,0,0,1,0,0,0,0,0
Firmicutes Erysipelotrichia Erysipelotrichales Erysipelatoclostridiaceae,12,99,23,86,4,4,6,3,2
Firmicutes Erysipelotrichia Erysipelotrichales Erysipelotrichaceae,642,529,870,605,837,865,877,781,463
Firmicutes Erysipelotrichia Erysipelotrichales unknown,0,0,0,0,0,0,0,0,0
Firmicutes Negativicutes Acidaminococcales Acidaminococcaceae,6998,9311,11484,9307,14,6,5,8,3
Firmicutes Negativicutes Selenomonadales Selenomonadaceae,0,0,0,0,0,0,0,0,0
Firmicutes Negativicutes Veillonellales Veillonellaceae,0,0,0,0,2,1255,9,127,0
