,0,1,2,3,4,5,6,7,8
Actinobacteria,15,17,15,12,16,10,3,1,5
Bacteroidetes,228525,208272,221207,196826,250616,253826,248637,207406,204960
Chloroflexi,0,0,0,0,0,0,0,0,0
Cyanobacteria/Chloroplast,0,0,0,0,0,0,0,0,0
Deinococcus-Thermus,0,0,0,0,0,0,0,0,0
Firmicutes,35590,40617,52309,47367,51167,47200,46588,38421,37435
Fusobacteria,2,0,0,0,0,0,0,0,2
Lentisphaerae,1,0,1,5,0,0,0,0,0
Proteobacteria,31282,26851,23597,16632,29583,28792,23432,25517,21572
Verrucomicrobia,38159,37749,55642,45014,105890,80287,84251,84132,75042
unknown,18,13,17,0,0,0,5,0,0
