"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Firmicutes Erysipelotrichia Erysipelotrichales Erysipelotrichaceae",2049.24593390823,3.52594125547397,0.25457418793063,13.8503486317111,1.26596160083984e-43,3.2915001621836e-42
"Firmicutes Clostridia Clostridiales Lachnospiraceae",16101.143347856,-3.12727349988915,0.233029223381353,-13.4200914997316,4.61143513683244e-41,5.99486567788218e-40
"Firmicutes Clostridia Clostridiales Ruminococcaceae",2979.80025372929,-1.64305653185792,0.283421892175395,-5.79721107373426,6.7426806437534e-09,5.84365655791962e-08
"Firmicutes Erysipelotrichia Erysipelotrichales Erysipelatoclostridiaceae",93.997732182931,4.63886735113514,0.856862615231878,5.41378193968681,6.17073081218693e-08,4.0109750279215e-07
"Firmicutes Clostridia Clostridiales unknown",65.0322989679439,-3.62071873582125,0.896505269919577,-4.03870323723368,5.37475127144656e-05,0.000279487066115221
"Bacteroidetes Bacteroidia Bacteroidales Rikenellaceae",629.67013480828,1.2645168117568,0.406153022751965,3.11339997715351,0.00184945186789927,0.00801429142756351
"Proteobacteria Betaproteobacteria Burkholderiales Sutterellaceae",17760.1778940817,0.46929941853278,0.158106510094157,2.96824854494162,0.00299502043917084,0.011124361631206
"Firmicutes Clostridia Clostridiales Clostridiales_Incertae_Sedis_XIII",15.4228988042502,2.76475780738604,1.07252555167119,2.57780134289392,0.00994311427430961,0.0323151213915062
"Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae",11828.2996461024,-0.364307632128996,0.185005547042165,-1.96917140028221,0.0489334119050873,0.14136318994803
"Verrucomicrobia Verrucomicrobiae Verrucomicrobiales Akkermansiaceae",59759.7545982831,0.188452298028211,0.135420306596558,1.39161033351996,0.164040427979553,0.426505112746839
"Firmicutes unknown unknown unknown",3.72746731938033,-5.88474914483857,4.6519985129594,-1.26499377169726,0.205873560552086,0.486610234032202
"Proteobacteria Deltaproteobacteria Desulfovibrionales Desulfovibrionaceae",165.642510705,1.21373262925582,1.30013738904867,0.933541823717511,0.350540286684729,0.714670851825649
"Firmicutes Clostridia Clostridiales Peptostreptococcaceae",24.1059362783535,2.1310643046371,2.39383103199925,0.890231714832983,0.373341478511315,0.714670851825649
"Proteobacteria Gammaproteobacteria Enterobacterales Enterobacteriaceae",30.0586571802698,0.949795099047259,1.14425626670317,0.830054531214239,0.406507953007139,0.714670851825649
"Bacteroidetes Bacteroidia Bacteroidales Bacteroidaceae",142875.810778642,-0.103949338394819,0.126792980434585,-0.819835120513223,0.41231010682249,0.714670851825649
"Actinobacteria Coriobacteriia Eggerthellales Eggerthellaceae",7.24972004468725,-1.40105044287646,1.86508738785277,-0.751198282719321,0.452533333565265,0.735366667043556
"Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae",4.67895428265545,-0.423014162381343,1.4468645113458,-0.292366119331988,0.770006709947119,1
"Bacteroidetes Bacteroidia Bacteroidales Barnesiellaceae",7.12108882877533,0.498647072326327,2.22519627902628,0.224091275464711,0.822686281038347,1
"Firmicutes Negativicutes Acidaminococcales Acidaminococcaceae",69.2990862135059,0.244015406372143,1.15869080065585,0.210595791589978,0.833202696493862,1
"Bacteroidetes Bacteroidia Bacteroidales Odoribacteraceae",5.13564283972903,0.330179430989992,3.24496453615519,0.101751321874601,0.918954064540778,1
"Firmicutes Clostridia Clostridiales Eubacteriaceae",22.6631341583883,0.0849199807428773,1.51878763954667,0.0559130049071406,0.955411110620189,1
"Firmicutes Bacilli Lactobacillales Enterococcaceae",3.54623938582642,0,2.56212975268242,0,1,1
"Firmicutes Bacilli Lactobacillales Streptococcaceae",19.6094731515048,0,2.06920838375262,0,1,1
"Firmicutes Clostridia Clostridiales Clostridiaceae_1",3.11367440560377,0,5.16147393680411,0,1,1
"Firmicutes Negativicutes Veillonellales Veillonellaceae",31.9992794813751,0,5.16147393680411,0,1,1
"Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae",17.8388982199834,0,2.90403808207341,0,1,1
