,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Phocaeicola unknown OTU_1,95330,55558,56125,30840,22032,33257,100499,53925,71328,26824,35550,35299,106841,56525,65496,24773,11690,32232,72734,48173,79806,11187,18183,25723,84468,52274,74284,26164,13602,41929
Bacteroides ovatus/fragilis/koreensis/kribbi OTU_2,94780,77364,81600,5179,128873,78615,99997,79928,90650,4280,108523,81457,88400,78910,92402,4957,145727,72450,84690,79511,91909,3016,123879,80613,75549,46239,80197,3070,123905,70138
Akkermansia muciniphila OTU_3,105819,60257,68971,74629,68270,29856,80221,34012,44020,90316,70336,35195,84169,54522,62892,93755,75120,36547,84071,59132,59500,84270,73366,29711,75005,60165,65861,123133,75988,32966
Bacteroides intestinalis/timonensis/cellulosilyticus OTU_4,62,172,310,2,120,418,84,143,315,10,174,331,40,163,448,0,177,349,42,173,461,167,146,359,25,129,310,370,191,407
Parasutterella excrementihominis OTU_5,26014,21355,16835,4810,27211,11808,23706,15541,17592,5839,19243,11548,20100,21407,15988,5177,33684,14198,23262,21005,12007,3787,29779,14761,18679,13549,14248,4780,26318,11454
Bacteroides dorei/fragilis OTU_6,16293,5423,3384,34748,86,11904,12838,7236,7001,28241,332,9222,10910,5466,5463,27533,60,9524,13026,3537,2192,38006,45,12651,7878,4088,1505,19582,39,10815
Bacteroides caccae OTU_7,7882,6737,7266,5286,6195,3293,6505,3325,3814,2684,5603,3357,7476,5664,3467,7533,1662,3751,6027,7087,6193,4201,3474,3756,7976,6136,12356,6600,2139,6320
Bacteroides salyersiae OTU_8,20120,12289,13257,5132,18106,10246,19711,11561,11517,3486,16401,10627,19251,12447,10341,5805,7251,9305,15486,13991,12205,4171,12374,8833,16436,11288,12336,2332,10157,11254
Bacteroides faecichinchillae/finegoldii/thetaiotaomicron/faecis OTU_9,33,99,18,2,39,14,33,26,9,0,45,16,6,64,43,0,148,33,10,51,30,386,27,18,4,20,4,237,45,11
Bacteroides uniformis OTU_10,94,42,9,8,54,13,22,17,15,4,43,4,45,18,7,4,21,6,72,27,0,312,14,10,66,30,5,379,14,2
Escherichia/Shigella unknown OTU_11,0,46,15,0,57,6,0,0,21,0,52,15,6,24,21,0,119,26,6,98,6,100,52,7,0,10,17,21,95,88
Parabacteroides distasonis OTU_12,6980,5382,8536,3429,6521,16152,5981,6245,11564,2890,8399,18372,7220,6443,9322,1677,7735,11946,8204,6293,9788,1604,7217,18987,5534,4351,10354,1987,9286,15156
Parabacteroides goldsteinii OTU_13,50,48,54,3,47,97,14,26,76,0,35,84,15,21,128,3,76,133,16,12,56,953,28,94,0,19,81,1146,138,137
Phascolarctobacterium faecium OTU_14,14,17,10,0,14,2,6,11,14,1,21,7,5,12,13,0,34,2,8,29,13,510,12,16,3,19,21,1776,41,31
Bacteroides nordii OTU_15,32,29,12,0,43,7,9,7,8,0,64,15,13,34,20,0,65,9,20,63,8,265,55,3,6,37,15,237,79,25
Enterocloster unknown OTU_16,4465,4946,3924,2958,438,3324,6647,2818,5118,3812,67,2190,4334,3397,6184,3257,43,1025,3406,3673,8198,3213,170,1701,6421,6404,5559,2630,87,2768
Murimonas intestini OTU_17,435,2757,870,1144,2571,9539,1108,3155,777,1658,476,6497,580,493,773,716,236,2627,485,1821,1755,676,117,6600,639,887,500,936,38,7920
Parabacteroides merdae OTU_18,4124,4283,3516,4406,594,3091,4214,3124,4183,2853,353,2142,4288,5516,2577,2694,246,2843,3874,4101,5173,2126,659,2942,3680,2920,2995,2218,679,1709
Sutterella wadsworthensis OTU_19,3529,1015,3156,508,2393,1116,5031,1741,3981,374,7627,1036,3293,86,2702,637,3381,147,2244,172,5266,59,2454,713,2888,694,4500,592,3752,1275
Bilophila wadsworthia OTU_20,40,7,5,0,8,7,55,0,3,3,10,9,19,2,5,0,13,5,5,1,3,2326,2,0,3,3,3,3072,2,17
Hungatella hathewayi/effluvii OTU_21,3814,8838,10,1968,93,130,6236,6230,1,3461,41,12,1821,4378,400,1317,81,378,2571,4870,1,1465,42,38,3550,9671,5,1577,138,12
Paraprevotella unknown OTU_22,0,4,3,0,5,0,0,2,15,0,3,3,2,5,2,0,3,5,1,4,1,0,5,2,2,10,0,0,8,29
Mediterraneibacter unknown OTU_23,13597,772,0,171,5,38,9959,1452,0,410,13,38,13858,928,34,206,18,25,13906,3450,3,51,51,40,11590,1998,0,163,12,7
Phocaeicola unknown OTU_24,157,15,0,11,4,0,132,4,0,13,0,0,109,5,0,8,4,0,82,3,0,3390,0,0,46,6,0,2408,7,0
Blautia obeum/wexlerae/provencensis OTU_25,1523,236,0,597,0,0,1965,211,0,526,6,0,2971,301,0,301,3,0,1417,556,0,653,0,0,257,85,0,445,0,0
Clostridium_sensu_stricto celatum/disporicum/saudiense OTU_26,105,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,10,0,0,0,0,0
unknown unknown OTU_27,175,266,353,658,1801,150,196,133,579,801,1873,165,178,190,404,473,4705,84,123,147,514,1277,2283,91,94,164,905,824,2973,377
Alistipes unknown OTU_28,0,3,0,0,1,0,1,0,4,0,2,0,2,1,1,0,2,0,0,6,5,120,3,0,7,0,3,390,4,1
Bacteroides dorei/stercoris OTU_29,3145,1102,944,314,1772,153,2272,996,728,279,905,492,2644,1514,692,398,266,444,1546,1004,1036,279,2615,804,1767,771,889,175,683,432
Holdemania filiformis OTU_30,20,5,250,16,1090,430,36,11,425,48,1284,597,6,21,224,30,7529,257,0,7,359,62,3239,313,1,0,319,67,724,628
Parabacteroides distasonis OTU_31,1025,560,1133,614,1034,2058,906,781,1545,383,1276,2333,847,571,1156,236,1166,1546,1000,687,1193,228,1132,2639,885,642,1300,217,1205,2118
Faecalibacterium prausnitzii/cf. OTU_32,6148,383,0,155,1,1,6984,0,0,289,0,0,7510,83,0,156,0,0,3548,281,0,44,0,0,3691,323,0,25,0,0
unknown unknown OTU_33,1,152,565,72,0,885,174,312,629,441,4,462,13,69,135,20,0,257,35,131,279,278,1,279,0,102,185,123,4,155
Ruminococcus2 unknown OTU_34,216,258,64,2088,0,48,138,474,96,1962,4,48,71,192,53,1742,0,221,39,324,27,3654,3,230,87,41,21,1836,0,208
Eisenbergiella massiliensis OTU_35,441,752,1,272,3,0,440,611,1,317,4,0,220,382,1,48,3,0,70,662,1,310,12,24,140,438,0,274,0,0
Bacteroides finegoldii OTU_36,0,3,0,0,7,0,0,0,0,0,11,0,0,6,0,0,0,0,0,22,0,0,0,0,0,3,1,0,3,31
Ruthenibacterium unknown OTU_37,39,11,201,743,79,833,67,42,281,1075,557,693,25,18,175,1303,17,1102,16,8,280,1886,66,1298,28,7,306,2758,22,1240
Clostridium_XlVa unknown OTU_38,1071,459,0,1176,3,9,785,369,2,1584,0,0,1089,260,0,1294,5,0,687,540,0,1852,3,0,664,367,0,1922,0,10
Blautia caecimuris OTU_39,2510,942,0,991,3,1272,286,1816,0,392,4,826,232,1232,164,372,1,344,60,267,0,255,0,117,18,587,0,248,2,112
Blautia massiliensis OTU_40,132,209,0,23,0,0,83,126,0,17,0,0,64,47,3,14,0,0,71,123,0,67,0,0,57,5,0,17,3,0
Barnesiella unknown OTU_41,5,2,0,0,3,0,6,0,0,1,0,1,0,0,0,0,0,0,0,4,0,202,0,0,0,0,0,51,0,0
Merdimonas unknown OTU_42,1686,1460,0,2939,8,0,1649,1147,0,2985,0,0,1841,970,1241,1711,0,484,1353,1648,1,3832,24,0,1388,1145,0,1245,3,0
Blautia producta/coccoides/marasmi/hansenii OTU_43,1236,1017,738,1586,186,1521,824,732,353,1399,86,935,1160,1056,1040,968,20,1432,849,501,541,585,138,1926,851,1019,484,1703,3,2337
unknown unknown OTU_44,1108,1620,4,716,27,86,516,141,4,467,0,56,447,991,0,190,25,272,487,653,72,344,4,83,748,2023,61,394,11,83
Dysosmobacter unknown OTU_45,314,764,626,850,146,500,304,1297,825,881,120,315,344,386,280,485,15,305,323,1157,1293,1019,0,344,358,478,1298,258,0,271
Roseburia intestinalis/hominis OTU_46,5538,0,0,16,3,0,984,7,0,50,1,0,2400,828,0,34,0,0,2870,1197,0,1,0,0,2659,1538,0,12,2,0
Flavonifractor plautii OTU_47,175,248,371,1662,420,673,181,180,255,2563,322,451,135,218,65,1546,285,157,219,238,77,2162,383,168,119,90,197,824,256,206
unknown unknown OTU_48,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0
Romboutsia sedimentorum OTU_49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown unknown OTU_50,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,3,3,4
Coprobacter fastidiosus OTU_51,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,1,0,0,3
Alistipes finegoldii/onderdonkii OTU_52,129,64,41,1500,74,158,260,52,28,1184,86,205,137,90,14,1623,26,234,154,82,34,402,58,192,297,225,228,786,390,2193
Sellimonas intestinalis OTU_53,128,139,172,900,7,470,181,145,118,999,1,598,82,195,175,209,4,916,88,60,113,612,5,746,93,80,126,536,0,722
Clostridium_XlVa unknown OTU_54,1857,924,0,2227,2,0,0,1,1,399,0,0,1917,656,0,1220,3,0,542,303,0,1444,2,0,136,0,0,291,1,0
Coprobacillus cateniformis OTU_55,10,0,127,49,69,31,17,4,79,50,51,8,5,3,27,13,70,235,12,6,122,63,39,123,0,1,107,90,47,60
Clostridium_IV unknown OTU_56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
Blautia faecis OTU_57,105,19,0,34,0,0,55,4,0,22,0,0,71,20,0,19,1,0,58,54,0,148,0,0,110,47,0,34,0,0
Longibaculum unknown OTU_58,550,174,371,368,962,838,551,353,94,437,901,673,663,354,597,326,267,1498,597,341,1,168,705,148,312,220,209,270,623,1329
Alistipes finegoldii OTU_59,190,89,257,804,417,176,151,77,224,401,641,290,149,102,234,1125,354,275,195,207,174,493,657,347,142,44,310,365,314,274
Turicibacter sanguinis OTU_60,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Holdemania massiliensis OTU_61,61,56,158,65,499,313,49,18,24,84,280,221,8,31,60,31,147,185,37,36,78,19,275,287,47,48,116,71,2367,367
Erysipelatoclostridium ramosum OTU_62,4,14,85,32,90,135,4,7,129,17,190,403,6,1,7,25,20,84,3,1,128,49,20,707,2,0,114,33,374,174
unknown unknown OTU_63,44,142,0,15,0,97,151,57,0,17,0,0,0,264,680,1,0,255,0,231,1,26,0,0,0,0,0,64,0,0
Negativibacillus unknown OTU_64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,879,0,0,0,0,0,612,0,2
Flintibacter unknown OTU_65,11,0,1,72,0,0,131,137,199,1248,0,338,96,227,211,285,0,625,182,204,45,572,0,394,83,73,181,474,0,410
unknown unknown OTU_66,38,30,483,100,6,243,3,28,238,28,0,148,23,10,26,29,2,19,5,1,65,45,0,21,44,12,54,205,2,72
unknown unknown OTU_67,2,0,1051,15,1280,243,1,4,484,40,2032,250,2,3,334,29,203,154,0,15,508,54,1473,246,0,0,903,13,206,55
Enterocloster unknown OTU_68,614,423,65,589,16,119,621,104,38,395,1,18,310,246,252,214,1,80,362,258,176,157,3,42,398,347,122,238,6,45
Fusicatenibacter saccharivorans OTU_69,207,3,0,21,0,0,530,0,0,23,0,0,579,0,0,28,1,0,265,0,0,148,1,0,233,8,0,3,0,0
Faecalibacterium unknown OTU_70,8,0,0,1,0,0,4,37,0,1,0,0,2,0,0,0,0,0,4,3,0,35,0,0,0,0,0,31,0,0
unknown unknown OTU_71,0,63,0,0,0,284,0,59,0,0,0,0,0,40,86,0,0,220,0,109,0,38,0,0,0,154,0,44,0,0
Butyricimonas paravirosa/faecihominis OTU_72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,57,0,0,0,0,1,114,0,0
Blautia unknown OTU_73,59,163,370,371,3,225,108,552,347,518,142,58,169,180,54,251,0,53,154,227,77,682,4,275,77,142,52,836,0,67
Bacteroides intestinalis OTU_74,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,5,4,0,0,1,0,2,2,2,0,0,0
Fournierella massiliensis OTU_75,48,0,1,276,0,0,86,0,0,46,0,130,6,6,0,26,0,20,0,10,19,255,0,233,9,28,6,31,0,104
Faecalicatena unknown OTU_76,98,115,335,18,0,102,252,32,164,43,0,27,23,18,107,18,0,36,43,36,222,76,3,21,1,14,228,45,0,50
Romboutsia timonensis/ilealis OTU_77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lawsonibacter unknown OTU_78,12,14,196,202,82,77,31,0,83,148,41,7,5,1,22,40,22,2,7,5,133,267,31,36,0,0,77,161,5,14
Clostridium_XlVa scindens OTU_79,5,0,0,30,0,0,8,0,0,76,0,0,6,1,1,24,0,0,5,3,0,246,0,0,5,0,0,407,1,0
Ruminococcus bicirculans OTU_80,196,154,0,241,0,0,414,152,0,212,0,0,142,146,0,153,0,0,310,269,0,148,1,0,176,145,0,123,0,0
Terrisporobacter glycolicus/othiniensis/mayombei OTU_81,1,0,5,147,0,1,0,0,2,318,0,0,0,0,0,142,0,0,0,0,0,111,0,0,0,0,0,40,0,77
Blautia obeum OTU_82,55,8,0,25,0,0,47,28,0,35,0,0,296,7,0,40,0,0,221,36,0,130,0,0,55,13,0,19,0,0
unknown unknown OTU_83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,0,0,3,0,0,0,0,0
Anaerostipes caccae OTU_84,233,46,0,37,0,21,207,31,0,35,1,9,215,69,84,30,0,16,160,30,0,59,1,2,221,139,0,43,2,10
Ruthenibacterium unknown OTU_85,27,44,179,376,89,268,24,27,80,446,154,199,15,38,43,289,31,364,18,18,151,444,102,375,27,4,61,975,2,206
Parabacteroides unknown OTU_86,184,108,109,81,76,78,180,118,162,33,59,95,190,117,149,35,39,70,197,105,157,29,43,88,174,82,154,44,64,101
Ruminococcus unknown OTU_87,1,0,0,0,0,0,117,96,89,0,0,66,0,0,0,0,0,0,163,105,21,0,0,66,0,0,0,0,0,0
unknown unknown OTU_88,0,0,0,0,0,0,0,43,0,47,0,0,1,0,0,0,0,0,2,1,0,0,0,14,0,0,0,0,0,0
Frisingicoccus unknown OTU_89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown unknown OTU_90,4,7,46,7,446,27,14,9,66,9,596,23,5,8,60,5,828,10,0,2,20,3,870,25,7,17,100,12,796,21
Christensenella unknown OTU_91,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,3,0,0
Agathobaculum unknown OTU_92,169,88,0,70,0,0,179,31,0,10,0,0,49,114,0,38,1,0,82,70,0,84,0,0,22,4,0,71,0,0
Roseburia unknown OTU_93,37,0,0,1,0,0,7,0,0,0,0,0,360,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0
unknown unknown OTU_94,37,14,0,32,0,0,289,576,0,123,0,0,6,7,162,3,0,13,70,272,0,6,0,0,31,91,0,1,0,0
Blautia unknown OTU_95,511,5,0,17,0,0,1335,0,0,175,0,0,35,0,0,84,0,0,901,374,0,19,0,0,570,7,0,55,0,0
