,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Actinobacteria,16,1,0,84,0,5,10,1,0,35,0,1,3,0,0,14,0,2,1,0,0,120,0,1,5,0,2,14,0,0
Bacteroidetes,250616,169378,176594,92364,186116,159743,253826,167597,203203,73575,178515,164358,248637,173687,191969,78408,176721,145155,207406,165152,210429,71622,170622,158079,204960,129325,197338,68919,162953,163094
Chloroflexi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyanobacteria/Chloroplast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deinococcus-Thermus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes,51167,29353,11994,28866,10808,23897,47200,24423,12114,33212,9918,17711,46588,20104,14643,22458,14937,15235,38421,26478,15894,35712,10653,18319,37435,30291,13240,32113,9588,21757
Fusobacteria,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
Lentisphaerae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria,29583,22423,20138,5330,29670,12979,28792,17283,22069,6227,26932,12735,23432,21519,18764,5814,37201,14498,25517,21276,17345,6292,32287,15580,21572,14260,18880,8488,30167,12913
Verrucomicrobia,105890,60284,69007,74674,68277,29861,80287,34022,44042,90379,70355,35211,84251,54545,62908,93781,75128,36561,84132,59170,59516,84308,73382,29722,75042,60216,65882,123226,76000,32974
unknown,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,3,0,0,2,0,0,1
