name	Cluster Assignment
OTU_1	14
OTU_2	14
OTU_3	14
OTU_4	14
OTU_5	14
OTU_6	3
OTU_7	14
OTU_8	13
OTU_9	14
OTU_10	14
OTU_11	15
OTU_12	14
OTU_13	14
OTU_14	8
OTU_15	14
OTU_16	9
OTU_17	4
OTU_18	7
OTU_20	8
OTU_21	9
OTU_22	14
OTU_23	1
OTU_24	14
OTU_25	9
OTU_27	8
OTU_28	14
OTU_30	8
OTU_31	14
OTU_33	9
OTU_34	4
OTU_35	9
OTU_36	14
OTU_37	4
OTU_38	9
OTU_39	9
OTU_40	9
OTU_41	14
OTU_42	4
OTU_45	4
OTU_46	9
OTU_47	4
OTU_48	14
OTU_50	8
OTU_51	7
OTU_52	12
OTU_53	9
OTU_55	3
OTU_56	2
OTU_57	2
OTU_59	14
OTU_61	11
OTU_62	8
OTU_63	9
OTU_64	4
OTU_66	9
OTU_68	9
OTU_70	2
OTU_71	9
OTU_72	14
OTU_73	3
OTU_74	14
OTU_76	9
OTU_78	4
OTU_79	4
OTU_80	2
OTU_84	9
OTU_85	4
OTU_87	2
OTU_88	4
OTU_89	14
OTU_90	20
OTU_91	4
OTU_92	1
OTU_96	9
OTU_97	8
OTU_100	14
OTU_101	10
OTU_105	3
OTU_108	4
OTU_109	4
OTU_110	6
OTU_111	14
OTU_112	9
OTU_113	4
OTU_114	9
OTU_119	14
OTU_122	4
OTU_124	5
OTU_125	18
OTU_126	14
OTU_129	4
OTU_130	6
OTU_131	4
OTU_136	17
OTU_139	6
OTU_140	19
OTU_141	2
OTU_143	6
OTU_144	1
OTU_147	6
OTU_149	4
OTU_154	2
OTU_155	14
OTU_158	3
OTU_161	9
OTU_162	4
OTU_165	9
OTU_168	4
OTU_181	4
OTU_183	6
OTU_190	2
OTU_195	4
OTU_201	16
