	OTU_1	OTU_2	OTU_3	OTU_4	OTU_5	OTU_6	OTU_7	OTU_8	OTU_9	OTU_10	OTU_11	OTU_12	OTU_13	OTU_14	OTU_15	OTU_16	OTU_17	OTU_18	OTU_20	OTU_21	OTU_22	OTU_23	OTU_24	OTU_25	OTU_27	OTU_28	OTU_30	OTU_31	OTU_33	OTU_34	OTU_35	OTU_36	OTU_37	OTU_38	OTU_39	OTU_40	OTU_41	OTU_42	OTU_45	OTU_46	OTU_47	OTU_48	OTU_50	OTU_51	OTU_52	OTU_53	OTU_55	OTU_56	OTU_57	OTU_59	OTU_61	OTU_62	OTU_63	OTU_64	OTU_66	OTU_68	OTU_70	OTU_71	OTU_72	OTU_73	OTU_74	OTU_76	OTU_78	OTU_79	OTU_80	OTU_84	OTU_85	OTU_87	OTU_88	OTU_89	OTU_90	OTU_91	OTU_92	OTU_96	OTU_97	OTU_100	OTU_101	OTU_105	OTU_108	OTU_109	OTU_110	OTU_111	OTU_112	OTU_113	OTU_114	OTU_119	OTU_122	OTU_124	OTU_125	OTU_126	OTU_129	OTU_130	OTU_131	OTU_136	OTU_139	OTU_140	OTU_141	OTU_143	OTU_144	OTU_147	OTU_149	OTU_154	OTU_155	OTU_158	OTU_161	OTU_162	OTU_165	OTU_168	OTU_181	OTU_183	OTU_190	OTU_195	OTU_201
OTU_1	0.0	0.0	0.0	0.0	0.0	6.311775852975472e-10	0.0	3.2215791067624483e-11	0.0	0.0	-4.703260244094707e-12	0.0	0.0	-8.516011911013412e-12	0.0	0.0	9.589300697775565e-12	-1.372446617874287e-10	1.083097465768119e-11	6.6556757985731225e-12	0.0	0.0	0.0	6.217947149658596e-12	-1.2506004832153405e-11	0.0	7.464081050270735e-12	0.0	8.094850404845267e-12	1.8303324289346787e-11	6.997803132035769e-12	0.0	2.9456777288012454e-12	9.169052488092767e-12	1.013433867522729e-11	0.0	0.0	1.021562880834369e-11	1.3133621835650128e-10	0.0	3.0017351638436213e-10	0.0	0.0	-2.3911785656490356e-10	1.8047395983441823e-11	1.917189828850347e-11	3.1368206296927097e-10	0.0	0.0	5.146611463487562e-11	0.0	-3.7804934859243044e-11	0.0	2.643546222397046e-11	6.330666723993675e-12	1.5253645759942834e-10	-1.1067850650417641e-10	8.610875491564245e-11	0.0	2.995394973317396e-10	0.0	-8.019045646602527e-12	1.2912274374908978e-10	7.489192629470273e-12	-5.959158414013421e-11	1.7665760644462609e-10	1.7774144300194668e-10	-2.684966261775001e-10	1.8554881535057663e-11	0.0	2.2818419940840932e-11	4.729646502096182e-12	3.4659333372593264e-10	7.372250340268801e-12	-5.959231476262574e-12	0.0	4.826175776073069e-10	5.410116262149133e-10	1.3789422283826142e-10	4.1773397272293974e-12	-1.8381376380849274e-09	0.0	6.244237480617239e-11	1.9646114239672907e-10	1.2841602588720092e-10	0.0	-2.783988603877224e-10	0.0	0.0	0.0	3.5147409367126377e-10	-1.572153982188225e-09	5.465882022613069e-12	-9.859999408462662e-10	-2.220044941718745e-09	9.71659802039697e-11	-5.56981049562983e-11	-1.7749795784364986e-09	9.058014996173401e-11	-3.6865900367031575e-09	2.732451924802348e-10	-1.503690185632899e-10	0.0	1.4083050167723791e-09	0.0	-7.772332012850541e-10	9.317537311219475e-11	6.200324970025354e-10	-1.930995735698405e-10	-2.77063150139534e-09	-1.4260539956442876e-10	-5.067432833564818e-10	-5.660041469446054e-11
OTU_2	0.0	0.0	0.0	0.0	0.0	6.183121588038612e-10	0.0	3.310856772247091e-11	0.0	0.0	-4.693980670702214e-12	0.0	0.0	-8.354254150576599e-12	0.0	0.0	9.717924375858834e-12	-1.3581701263179175e-10	1.0722083130060971e-11	6.783753102447576e-12	0.0	0.0	0.0	6.2858436755085076e-12	-1.2029114629388144e-11	0.0	7.312001288106547e-12	0.0	8.167997495749809e-12	1.8556426554663814e-11	7.127643809619143e-12	0.0	2.689889625339215e-12	9.2344650252346e-12	1.0076354391322323e-11	0.0	0.0	1.0080017262810688e-11	1.3350832497891056e-10	0.0	3.04603275202681e-10	0.0	0.0	-2.2682395110899041e-10	-3.82015945272802e-11	1.920285323069226e-11	3.0661637580457786e-10	0.0	0.0	4.947045804531116e-11	0.0	-3.6871111202120315e-11	2.2560686034706468e-12	2.7225387465182394e-11	6.5293975385452144e-12	1.5045105541669076e-10	-1.1638070206649429e-10	8.425532554786465e-11	0.0	3.0013747261401994e-10	0.0	-6.161409495139186e-12	1.3043305475968001e-10	8.109608017714023e-12	-6.071940586354742e-11	1.7428412157834704e-10	1.8377984058438746e-10	-2.640542914677388e-10	1.9407434690374454e-11	0.0	1.8412319895179976e-11	4.713484434722965e-12	3.387828130722497e-10	7.6073408432339e-12	-6.5830451795584905e-12	0.0	4.858973090732231e-10	5.42025942317959e-10	1.415754365815088e-10	6.754821098243275e-12	-1.82559156550917e-09	0.0	6.367081463759166e-11	1.919429600710681e-10	1.2990137793548712e-10	0.0	-2.7313971981049266e-10	0.0	0.0	0.0	3.531109791654881e-10	-1.5533018544839287e-09	1.0289186221236826e-11	-9.840915778888317e-10	-2.148171770968192e-09	1.0097786863031004e-10	-5.990814444643331e-11	-1.72090152002062e-09	9.140617869672938e-11	-3.54046810773815e-09	2.787406914639464e-10	-1.488882942589232e-10	0.0	1.4302607200609536e-09	0.0	-7.554229082214118e-10	8.852644956694171e-11	6.167182764386234e-10	-1.9126493832280298e-10	-2.605615306263146e-09	-1.3623516942991984e-10	-5.034377744355706e-10	0.0
OTU_3	0.0	0.0	0.0	0.0	0.0	6.089725688096499e-10	0.0	2.110237512675223e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.412770612064757e-12	-1.190056067669434e-10	9.68360009886402e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.952088144522648e-12	1.575473745318446e-11	0.0	0.0	3.792147816434837e-12	7.803876070479572e-12	7.992417832930496e-12	0.0	0.0	8.931869868799302e-12	1.06505874125388e-10	0.0	2.610036811197371e-10	0.0	0.0	-2.410158549650342e-10	5.588314374069738e-11	1.7241230884324953e-11	2.761631197420207e-10	0.0	0.0	4.939480209327199e-11	0.0	-3.928725945586556e-11	0.0	2.202231021684325e-11	0.0	1.4036173736237517e-10	-9.225189506088003e-11	8.052768358776829e-11	0.0	2.603830908646446e-10	0.0	-1.1568111270234651e-11	1.0869293761340536e-10	6.16678590867321e-12	-5.116076617967491e-11	1.6404013922230602e-10	1.5256180414513504e-10	-2.514215806953531e-10	1.6600489269476933e-11	0.0	3.372984894103968e-11	4.563734012437245e-12	3.1635075213079925e-10	7.164152584016008e-12	-5.8217535629359455e-12	0.0	4.479778493385383e-10	4.82276865483377e-10	1.0984363296849828e-10	-2.602680565179479e-12	-1.6828006473608184e-09	0.0	5.729728159380617e-11	1.6020685784679523e-10	1.2461060586338745e-10	0.0	-2.604688126086519e-10	0.0	0.0	0.0	2.761409150417214e-10	-1.4928002178902088e-09	9.213399796492799e-12	-9.063067058472984e-10	-2.1666008882431048e-09	9.121591270404051e-11	0.0	-1.7014182963455255e-09	8.772878941158682e-11	-3.57275292322122e-09	2.2159732197935903e-10	-1.545751375711404e-10	0.0	1.247093906506232e-09	0.0	-7.435931721628992e-10	6.819380908281449e-11	5.380210998936819e-10	-1.9501373406079344e-10	-2.685900991548426e-09	-1.3306548067991502e-10	-5.054039856790649e-10	-6.055384433393546e-11
OTU_4	0.0	0.0	0.0	0.0	0.0	7.027825915487156e-10	0.0	1.8370605621721234e-11	0.0	0.0	-4.687735700404457e-12	0.0	0.0	-8.970350226714602e-12	0.0	0.0	9.592814036986283e-12	-1.3267330787892603e-10	1.0620172047524092e-11	6.376679508023639e-12	0.0	0.0	0.0	6.0330925411405216e-12	-1.1474334263844268e-11	0.0	7.152560187299976e-12	0.0	7.822052953366482e-12	1.7973847906057458e-11	6.9603514559372354e-12	0.0	2.5868186737057173e-12	9.039271969676113e-12	9.239598873528393e-12	0.0	0.0	1.000014361687584e-11	1.2709131788216067e-10	0.0	2.924004483700819e-10	0.0	0.0	-2.441228136677757e-10	9.016031458987722e-11	1.7591294328629004e-11	3.033666019746525e-10	0.0	0.0	5.5498039951140853e-11	0.0	-3.986392849333241e-11	0.0	2.5727094338708813e-11	5.22865439448744e-12	1.5051222460460445e-10	-1.0809610089268219e-10	8.387999238023983e-11	0.0	2.9891549171332267e-10	0.0	-7.915521588234752e-12	1.3013203705907145e-10	8.033092936319989e-12	-6.005921751874176e-11	1.7564958404831226e-10	1.758855247945353e-10	-2.75701657717624e-10	1.8615930568602585e-11	0.0	3.114279287148284e-11	4.911606179510762e-12	3.483166665330126e-10	7.524897741894785e-12	-5.8552666828256844e-12	0.0	5.120351714833915e-10	5.364538244908786e-10	1.3190794321580488e-10	1.4960904204771794e-12	-1.8673558035575685e-09	0.0	6.234436709204001e-11	1.9124461327402154e-10	1.3693477989694152e-10	0.0	-2.780804430437025e-10	0.0	0.0	0.0	3.5015749894270305e-10	-1.6176022470826103e-09	6.288297939400625e-12	-9.883807115177287e-10	-2.1147015679785376e-09	1.0243450863395769e-10	-5.729329562251536e-11	-1.7641601409295505e-09	9.388994953417813e-11	-3.551544327686728e-09	2.562863715723066e-10	-1.7330190566372442e-10	0.0	1.3926898239476476e-09	0.0	-7.657213588460807e-10	8.375467267114693e-11	6.305224352450347e-10	-2.0268804732041597e-10	-2.679307770426195e-09	-1.2394958064070532e-10	-4.777165637330215e-10	-5.373245910815051e-11
OTU_5	0.0	0.0	0.0	0.0	0.0	5.081869390773379e-10	0.0	3.645749431515232e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.117343352761402e-12	-9.904772798641902e-11	8.815303095587091e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.784264063644536e-12	1.540405931545096e-11	0.0	0.0	1.5831730650065384e-12	7.565494001336108e-12	0.0	0.0	0.0	8.577332059103406e-12	9.740862154968261e-11	0.0	2.554908581154511e-10	0.0	0.0	-2.1340601998361313e-10	2.9026168558185872e-11	1.5211644837807464e-11	2.6036515685507983e-10	0.0	0.0	3.952937952807668e-11	0.0	0.0	0.0	2.2821150937882242e-11	0.0	1.185019588514815e-10	0.0	6.807068495572392e-11	0.0	2.49436443211434e-10	0.0	0.0	9.795833951934252e-11	5.364006047172087e-12	0.0	1.3502308967779048e-10	1.5456272018635242e-10	-2.1123896347560216e-10	1.5180464291388435e-11	0.0	1.8640469117062328e-11	4.508650151512101e-12	2.800608587987697e-10	0.0	0.0	0.0	4.43031452202391e-10	4.4949644814773685e-10	1.1490560828893888e-10	-3.498436264643936e-12	-1.6934557294773745e-09	0.0	5.1170102071786485e-11	1.492582122766973e-10	1.1472077230875925e-10	0.0	-2.872620019435742e-10	0.0	0.0	0.0	2.851813041170673e-10	-1.4191343027372252e-09	-6.02661831322266e-12	-1.0167928198360295e-09	-2.224105930747011e-09	0.0	0.0	-1.6179779447029324e-09	7.499917845855299e-11	-3.609653082532975e-09	2.396048743519598e-10	-1.3616174293091212e-10	0.0	1.2249209731707282e-09	0.0	-7.309179668046389e-10	6.72967613770198e-11	5.163793023002268e-10	-1.7283699027768492e-10	-2.779019931136122e-09	-1.2313441185162552e-10	-5.04399685940025e-10	0.0
OTU_6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-8.443620573292578e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-8.330615270085243e-10	0.0	0.0	-1.5898266536061475e-09	0.0	0.0	-1.409739538718652e-09	0.0	-2.8054759139130415e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.2013045826109856e-09	0.0	0.0	0.0
OTU_7	0.0	0.0	0.0	0.0	0.0	6.05248492469427e-10	0.0	2.1723325019492793e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.673767063570031e-12	-1.242606635670848e-10	9.199477585311271e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.991202248290742e-12	1.627511039689638e-11	0.0	0.0	2.0157853149624056e-12	7.815865501786626e-12	8.802465324941647e-12	0.0	0.0	8.869882893167509e-12	1.2284750885575702e-10	0.0	2.7025611308155807e-10	0.0	0.0	-2.2065403878582652e-10	6.879759144476764e-11	1.7434371918489085e-11	2.7666211882103347e-10	0.0	0.0	4.2924415752282873e-11	0.0	-3.6484136895675984e-11	0.0	2.5516776069651402e-11	0.0	1.3533159859574418e-10	-1.0278889175283239e-10	8.632271121050693e-11	0.0	2.7768353240736274e-10	0.0	0.0	1.1393987050375792e-10	7.711216251906901e-12	-5.4235879540176234e-11	1.6937540853314996e-10	1.6477946825435166e-10	-2.5340940839512704e-10	1.7839239461621757e-11	0.0	1.65161421727229e-11	4.481847095436968e-12	3.343273980029945e-10	7.078868151800575e-12	0.0	0.0	4.957298349181615e-10	5.002221791835514e-10	1.2850320610514068e-10	2.3167370941141693e-12	-1.7819779247095494e-09	0.0	6.049155868575211e-11	1.8628405653131847e-10	1.236862771877046e-10	0.0	-2.7800705328411036e-10	0.0	0.0	0.0	3.286559567653141e-10	-1.4903100544805795e-09	7.602422715472014e-12	-9.232690519135994e-10	-2.0936149990403333e-09	9.51687724169566e-11	0.0	-1.6742514440066467e-09	9.140423532836466e-11	-3.4910476168392325e-09	2.6979456035780116e-10	-1.4596029024684194e-10	0.0	1.2950283561491959e-09	0.0	-7.313401188989992e-10	8.401256701498607e-11	5.914962516723154e-10	-1.7727920275553056e-10	-2.620559694738595e-09	-1.3007743878266913e-10	-4.654882384267029e-10	0.0
OTU_8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.29131187250884e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-7.297922321301055e-10	0.0	0.0	0.0	0.0	-1.1978345947948217e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-9.381763666159058e-10	0.0	0.0	0.0
OTU_9	0.0	0.0	0.0	0.0	0.0	7.686302624921503e-10	0.0	4.987477413581879e-12	0.0	0.0	0.0	0.0	0.0	-9.516555148009965e-12	0.0	0.0	8.862548784952213e-12	-1.2516498692299308e-10	1.0121879417206995e-11	0.0	0.0	0.0	0.0	5.642864250253537e-12	-1.1747284076189951e-11	0.0	0.0	0.0	7.22209620377099e-12	1.602348141343007e-11	6.40731077798949e-12	0.0	1.6976432107256686e-12	8.302443183922085e-12	8.360866220488677e-12	0.0	0.0	8.889412464954533e-12	1.1479060598026163e-10	0.0	2.7169212604788287e-10	0.0	0.0	-2.620301738838045e-10	2.9546163158438123e-10	1.619754007357688e-11	3.018621107699546e-10	0.0	0.0	5.244050850307283e-11	0.0	-4.3672714457303977e-11	0.0	2.2498666359704093e-11	4.3351030009816284e-12	1.4294728627051658e-10	-9.066035701561181e-11	7.845659608993988e-11	0.0	2.774544125560572e-10	0.0	-1.5744938016736626e-11	1.2109656043985567e-10	5.858682687579314e-12	-5.384883815290632e-11	1.7219421258464834e-10	1.618166877833408e-10	-2.6536880961895564e-10	1.638250070851051e-11	0.0	4.176327432326428e-11	4.247975789246951e-12	3.3974072262262675e-10	7.274579933594704e-12	-5.781544833084782e-12	0.0	4.797089869729023e-10	5.043716824612265e-10	1.1251356704078241e-10	-6.08948682954403e-13	-1.8407557880565636e-09	0.0	5.58213872370678e-11	1.8231032009912782e-10	1.476536881561542e-10	0.0	-2.590406399850524e-10	0.0	0.0	0.0	3.2633158289789276e-10	-1.7040868876169082e-09	6.877611309492292e-12	-1.0144283581188409e-09	-2.0699519040300037e-09	1.0832769294625511e-10	0.0	-1.8270602908672637e-09	1.037933486950096e-10	-3.571556273704301e-09	2.1820256475310084e-10	-1.9329595288728553e-10	0.0	1.2938333942172508e-09	0.0	-7.632288352009121e-10	8.08371193142002e-11	6.150811227309638e-10	-2.0184982580043334e-10	-2.7131655935697307e-09	-1.1119115981284306e-10	-4.85372643919404e-10	-5.6850330688561136e-11
OTU_10	0.0	0.0	0.0	0.0	0.0	7.047021858439462e-10	0.0	1.9299469558073108e-11	0.0	0.0	-4.505200856389396e-12	0.0	0.0	-8.742467078265112e-12	0.0	0.0	9.51710597978933e-12	-1.3013785999532866e-10	1.0767435015225491e-11	0.0	0.0	0.0	0.0	6.085680115786088e-12	-1.1096190079497238e-11	0.0	7.128105194517987e-12	0.0	7.882727574080511e-12	1.775237220667764e-11	6.922236461312793e-12	0.0	2.4957671536189054e-12	8.88242681032498e-12	8.762418903000578e-12	0.0	0.0	9.911741046284224e-12	1.232154127126565e-10	0.0	2.8949586788516784e-10	0.0	0.0	-2.4879298792177805e-10	1.2786560678923153e-10	1.7720286597451252e-11	3.013307858994582e-10	0.0	0.0	5.2682815555672285e-11	0.0	-4.217853961846868e-11	0.0	2.5151173300093465e-11	5.134669075841632e-12	1.4962683225719593e-10	-1.0407004696777576e-10	8.325984569044228e-11	0.0	2.9275272975665474e-10	0.0	-7.108764954011824e-12	1.2337344312098252e-10	7.558862717396735e-12	-5.6702663544109333e-11	1.747599432422323e-10	1.7440747880830482e-10	-2.798238283205879e-10	1.8346108515331255e-11	0.0	3.17602052771041e-11	4.436933175148889e-12	3.549014869506532e-10	7.51421922693199e-12	-5.6555686110220895e-12	0.0	5.276018499798362e-10	5.299981205814817e-10	1.3085984185618793e-10	9.71042157467297e-13	-1.883741382875108e-09	0.0	6.238127389930787e-11	1.881845602031942e-10	1.4014326941347847e-10	0.0	-2.9329992585578957e-10	0.0	0.0	0.0	3.4598646853893957e-10	-1.622895949351275e-09	2.8582766105247725e-12	-9.822031409231647e-10	-2.250749801867186e-09	1.031134973504833e-10	-5.328570042756243e-11	-1.8181401810882862e-09	9.536671357269387e-11	-3.737420257734031e-09	2.5782142608448846e-10	-1.615887182842728e-10	0.0	1.371586577604327e-09	0.0	-8.039947144027121e-10	8.306366865055485e-11	6.291698921713211e-10	-2.021098402493729e-10	-2.8257435736543737e-09	-1.3599483123605084e-10	-5.211184156371388e-10	-3.765551259650431e-11
