name	Cluster Assignment
OTU_1	4
OTU_2	4
OTU_3	4
OTU_4	4
OTU_5	4
OTU_6	7
OTU_7	4
OTU_8	4
OTU_9	4
OTU_10	4
OTU_12	4
OTU_13	11
OTU_16	7
OTU_17	7
OTU_18	4
OTU_19	8
OTU_21	7
OTU_23	9
OTU_24	10
OTU_25	9
OTU_27	4
OTU_29	4
OTU_30	4
OTU_31	8
OTU_32	9
OTU_33	7
OTU_34	7
OTU_35	9
OTU_37	14
OTU_38	7
OTU_39	7
OTU_40	5
OTU_42	7
OTU_43	5
OTU_44	7
OTU_45	7
OTU_46	9
OTU_47	14
OTU_52	14
OTU_53	7
OTU_54	7
OTU_55	4
OTU_57	9
OTU_58	5
OTU_59	4
OTU_61	4
OTU_62	4
OTU_63	6
OTU_65	7
OTU_66	6
OTU_67	4
OTU_68	7
OTU_69	2
OTU_71	2
OTU_73	14
OTU_75	14
OTU_76	7
OTU_78	6
OTU_80	9
OTU_82	3
OTU_84	6
OTU_85	7
OTU_86	4
OTU_87	6
OTU_88	3
OTU_90	15
OTU_92	9
OTU_94	9
OTU_95	9
OTU_96	6
OTU_99	3
OTU_100	9
OTU_103	7
OTU_104	14
OTU_106	2
OTU_111	4
OTU_113	7
OTU_115	7
OTU_116	7
OTU_118	9
OTU_120	9
OTU_121	14
OTU_133	16
OTU_134	1
OTU_136	1
OTU_137	9
OTU_139	12
OTU_146	9
OTU_150	6
OTU_151	13
OTU_152	13
OTU_153	7
OTU_160	7
OTU_182	7
