	OTU_1	OTU_2	OTU_3	OTU_4	OTU_5	OTU_6	OTU_7	OTU_8	OTU_9	OTU_10	OTU_12	OTU_13	OTU_16	OTU_17	OTU_18	OTU_19	OTU_21	OTU_23	OTU_24	OTU_25	OTU_27	OTU_29	OTU_30	OTU_31	OTU_32	OTU_33	OTU_34	OTU_35	OTU_37	OTU_38	OTU_39	OTU_40	OTU_42	OTU_43	OTU_44	OTU_45	OTU_46	OTU_47	OTU_52	OTU_53	OTU_54	OTU_55	OTU_57	OTU_58	OTU_59	OTU_61	OTU_62	OTU_63	OTU_65	OTU_66	OTU_67	OTU_68	OTU_69	OTU_71	OTU_73	OTU_75	OTU_76	OTU_78	OTU_80	OTU_82	OTU_84	OTU_85	OTU_86	OTU_87	OTU_88	OTU_90	OTU_92	OTU_94	OTU_95	OTU_96	OTU_99	OTU_100	OTU_103	OTU_104	OTU_106	OTU_111	OTU_113	OTU_115	OTU_116	OTU_118	OTU_120	OTU_121	OTU_133	OTU_134	OTU_136	OTU_137	OTU_139	OTU_146	OTU_150	OTU_151	OTU_152	OTU_153	OTU_160	OTU_182
OTU_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.62256580606518e-12	6.930583369328343e-12	0.0	-2.4314380692628335e-10	1.1443649274915218e-11	0.0	0.0	0.0	-4.8310153194414796e-11	0.0	0.0	-2.2463336509689534e-10	0.0	2.884400139723137e-12	1.2263679521671972e-11	0.0	1.9671499443686886e-11	2.736873555947831e-11	4.68704965892604e-12	-1.0786700888299712e-10	8.686534982379978e-12	-1.9544391170244262e-10	1.4247135596810652e-11	7.650327760468086e-12	0.0	-2.0884768127888403e-11	1.8904756986418367e-11	1.1908552481849667e-11	4.314417872299951e-12	0.0	1.597698194654391e-10	-1.7780061477697005e-10	0.0	0.0	0.0	-1.140566651077536e-09	-9.547499722920803e-12	-7.756979852585319e-10	0.0	4.703981571217282e-12	-3.5347221909760804e-11	-7.733090811163799e-12	1.5368832785871906e-11	1.6485427518835465e-11	4.146766696541821e-11	-1.7671005669236873e-09	-7.589362226153299e-13	5.671389867760673e-10	-1.1016877452078119e-09	1.651365961002842e-11	0.0	-8.761437207112869e-10	6.073698520601326e-10	-6.136741404567643e-11	0.0	2.525707666257941e-11	0.0	-1.0847342322361015e-09	9.172736347204479e-10	0.0	6.540947787917327e-11	1.8319112115097163e-11	-9.670868624772005e-11	0.0	7.760241682812428e-11	2.2775456586682087e-11	1.1529050216376534e-11	0.0	8.355196473455814e-11	-3.424681066933815e-11	4.1542515807891767e-10	-6.619004629124558e-10	-1.95169805923503e-09	0.0	-6.085067016523896e-09	0.0	-8.240360702101904e-10	1.129366432095481e-09	1.0041956080091218e-09	2.4831932115102858e-11	2.7638420665516744e-11	-5.383612175346717e-11
OTU_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.556397308400493e-12	6.8564230874387666e-12	0.0	-2.392454835496286e-10	1.1364236859884753e-11	0.0	0.0	0.0	-4.695416789791527e-11	0.0	0.0	-2.2236980571099404e-10	0.0	2.5926341462050238e-12	1.2200688446202195e-11	0.0	1.94650571171641e-11	2.7348121816032556e-11	4.616415431561192e-12	-1.0464144584702278e-10	8.53803283861782e-12	-1.9038596754263796e-10	1.432807811413955e-11	7.559699661941448e-12	0.0	-2.0523588390201384e-11	1.86171098383849e-11	1.185859638289803e-11	4.286549653647231e-12	0.0	1.545160101170077e-10	-1.7271658615634167e-10	0.0	0.0	0.0	-1.1293896838464945e-09	-9.638481205703417e-12	-7.668154478772939e-10	0.0	4.732566741994542e-12	-3.490917252153664e-11	-8.331514771406504e-12	1.5275314053110754e-11	1.6233063272379644e-11	4.215373565548707e-11	-1.7168850165193059e-09	-4.004153043965483e-13	5.56026579127166e-10	-1.0926079340104085e-09	1.6384971617361348e-11	0.0	-8.711663481827765e-10	6.000867659428521e-10	-6.104930009686849e-11	0.0	2.462773034712499e-11	0.0	-1.0622831424058464e-09	9.044072250104177e-10	0.0	6.394323084986073e-11	1.8050254875487165e-11	-9.5144843449933e-11	0.0	7.796285088972179e-11	2.1210651456291526e-11	1.1377821712254215e-11	0.0	8.241189020437951e-11	-3.423619937070809e-11	4.017684689451264e-10	-6.383385713775555e-10	-1.9236627448514686e-09	0.0	-5.966354477935784e-09	0.0	-8.294341031538299e-10	1.1198872811202478e-09	9.898257406272133e-10	2.413324862625091e-11	2.7190951412505603e-11	-5.3294326148827855e-11
OTU_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.622044515669801e-12	6.9109334776839954e-12	0.0	-2.398340247352949e-10	1.1410119445957732e-11	0.0	0.0	0.0	-4.6592785152592963e-11	0.0	0.0	-2.22732876583931e-10	0.0	3.376862198376366e-12	1.2214268253867046e-11	0.0	1.9753687186067734e-11	2.7117929877268963e-11	4.660980115505452e-12	-1.0735538684886465e-10	8.497079654742423e-12	-1.9864552430419221e-10	1.4127190925933477e-11	7.613741549475792e-12	0.0	-2.0788782420596847e-11	1.9038833558224805e-11	1.1904335816222698e-11	4.1838643557698174e-12	0.0	1.6427630527082778e-10	-1.8065104024330186e-10	0.0	0.0	0.0	-1.1310892939074935e-09	-9.679787420100971e-12	-7.747674391439708e-10	0.0	4.647936769119894e-12	-3.4878971343147884e-11	-7.608089989912333e-12	1.5425677047400568e-11	1.666178168385259e-11	4.08844133393844e-11	-1.756422749647545e-09	-8.382431087837781e-13	5.697464717306987e-10	-1.099754783530213e-09	1.646810926560509e-11	0.0	-8.807559651503427e-10	6.000097986864645e-10	-6.13039713940678e-11	0.0	2.538624170270049e-11	0.0	-1.0697216133527742e-09	8.992370555900195e-10	0.0	6.527314374653108e-11	1.8487643271183983e-11	-9.564415526261867e-11	0.0	7.728854668691782e-11	2.234720118964642e-11	1.142191305429556e-11	0.0	8.355685817860476e-11	-3.5888150924038683e-11	4.194324612832929e-10	-6.699776180166274e-10	-1.9505120492499556e-09	0.0	-6.069027805130087e-09	0.0	-8.227251142051051e-10	1.1240791163948997e-09	9.901360916302417e-10	2.4583658396180932e-11	2.7172331709362337e-11	-5.2541910467940297e-11
OTU_4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.234865123998009e-12	6.102511996157379e-12	0.0	-2.2274137244163877e-10	1.042843999289776e-11	0.0	0.0	0.0	-4.4654312360344655e-11	0.0	0.0	-2.0235915621383388e-10	0.0	4.952131178347482e-13	1.1192210200955822e-11	0.0	1.8906201699336947e-11	2.5437445931782464e-11	0.0	-1.046467781891424e-10	7.970168210252999e-12	-1.7560081407718933e-10	1.341066355531998e-11	7.202697552361012e-12	0.0	-2.143248080674467e-11	1.818710969269535e-11	1.0992649708405795e-11	3.86007178561892e-12	0.0	0.0	-1.581067858692489e-10	0.0	0.0	0.0	-1.095824182148018e-09	-9.463247862612735e-12	-7.204202311953188e-10	0.0	4.5855346545532904e-12	-3.054178909362956e-11	-5.463928581689262e-12	1.4407805084361659e-11	1.5585560793865345e-11	4.08572227020277e-11	-1.6717513064606916e-09	0.0	5.199103496815627e-10	-1.0417388308959805e-09	1.598543496465213e-11	0.0	-8.269525221064012e-10	5.854954492371372e-10	-5.552591698792813e-11	0.0	0.0	0.0	-1.043477921342824e-09	8.511384296876855e-10	0.0	6.232839514699667e-11	1.7815096703393905e-11	-9.018325781452643e-11	0.0	7.618474805560169e-11	2.0981809028896604e-11	1.0689854570483772e-11	0.0	0.0	-3.819713722915118e-11	3.330438751528496e-10	-6.5469298577741e-10	-2.0013789056438244e-09	0.0	-5.697695377164336e-09	0.0	-7.996502987796012e-10	8.627561654805001e-10	8.27930139505036e-10	2.4220691817072985e-11	2.676759096961802e-11	-3.976462511087355e-11
OTU_5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.60805796449728e-12	6.940547688654636e-12	0.0	-2.4076930118148246e-10	1.1455514274250597e-11	0.0	0.0	0.0	-4.7116204468608674e-11	0.0	0.0	-2.224440477417027e-10	0.0	2.1327476353895836e-12	1.223372396227047e-11	0.0	1.9747052043948488e-11	2.7468572044531268e-11	4.670132393546073e-12	-1.0769360561087556e-10	8.675008558192633e-12	-1.9646858219512414e-10	1.4378525445362161e-11	7.632872217300952e-12	0.0	-2.080358617639478e-11	1.8973950993720784e-11	1.1902018552743297e-11	4.283733122766475e-12	0.0	1.5699274241030215e-10	-1.7848557300412584e-10	0.0	0.0	0.0	-1.131720756872767e-09	-9.577723411363153e-12	-7.682187668225702e-10	0.0	4.717520010505234e-12	-3.5328859290228735e-11	-8.902262613610063e-12	1.5434426986681483e-11	1.662619833983517e-11	4.2492512144441706e-11	-1.7563737488102682e-09	-1.262577051804997e-12	5.68027967302584e-10	-1.097003538778348e-09	1.654111460272082e-11	0.0	-8.709723384634177e-10	6.020253486714211e-10	-6.134291325485091e-11	0.0	2.4496608638148875e-11	0.0	-1.0759656066978473e-09	9.062905528606592e-10	0.0	6.364836340647595e-11	1.8456986591236734e-11	-9.72195082160998e-11	0.0	7.809564850603666e-11	2.2324364178119508e-11	1.1535940004554e-11	0.0	8.356471948947756e-11	-3.6550888804053904e-11	4.152931248182807e-10	-6.614762751855592e-10	-1.9575434372263524e-09	0.0	-6.060293791436028e-09	0.0	-8.247731891802183e-10	1.1304262873571673e-09	1.0010223244009567e-09	2.398784136318346e-11	2.7788118444691497e-11	-5.093103138280815e-11
OTU_6	-6.719611693152825e-13	-5.969712482355884e-13	-7.653536562113984e-13	-5.071080284810047e-12	-6.991922328580364e-13	0.0	-5.079494989530107e-13	-6.516690104405036e-13	-1.1155748598927886e-10	4.563399170677062e-10	-5.818919424206694e-13	7.274823208315238e-10	0.0	0.0	2.563738978747558e-12	-6.848630849550077e-11	0.0	0.0	1.4572359460785024e-10	0.0	-4.355227612623877e-11	-5.8316634893602155e-12	0.0	-9.789561118686571e-11	0.0	0.0	0.0	0.0	1.3178793721146013e-11	0.0	0.0	-1.575352260815269e-10	0.0	-3.4931476082250835e-10	0.0	0.0	0.0	-7.488655896857838e-11	1.1166153326006616e-11	0.0	0.0	4.48699365718724e-10	0.0	-3.545544540296235e-10	-2.2872272491986236e-11	3.676400463272322e-11	4.868265745080714e-11	-1.2604688372868084e-09	0.0	-9.189393213317302e-10	-3.7202647471784984e-11	0.0	-6.131562990289011e-11	-5.099100006574233e-11	0.0	0.0	0.0	-1.9186944110453045e-09	0.0	7.481994817466679e-10	-1.2381650638903063e-09	0.0	-1.1662233903089757e-10	-7.546690087336792e-10	5.708773776871453e-10	-1.517162090085861e-10	0.0	0.0	0.0	-1.2230757264171287e-09	5.698194301735439e-10	0.0	0.0	0.0	-1.3881849445033306e-10	9.443085339841808e-11	0.0	0.0	0.0	0.0	0.0	-1.5190593642254314e-10	5.268631792933433e-10	-8.057059441432807e-10	5.880008249540032e-10	0.0	-7.404601664954384e-10	0.0	-6.376971311606118e-10	1.6230047358117768e-09	1.4244054854502382e-09	0.0	0.0	0.0
OTU_7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.61877959834418e-12	6.853905142408241e-12	0.0	-2.4181173603876663e-10	1.1402288965548443e-11	0.0	0.0	0.0	-4.8283312991813135e-11	0.0	0.0	-2.2476621558779546e-10	0.0	2.6115387816892587e-12	1.2175012939094595e-11	0.0	1.957067441335135e-11	2.7426044366120162e-11	4.658479663119516e-12	-1.0919013154781562e-10	8.665746483835018e-12	-1.9566391486512305e-10	1.4366872714935603e-11	7.494529615769272e-12	0.0	-2.2708174739562412e-11	1.8853683838292916e-11	1.1780810191391849e-11	3.691850895338681e-12	0.0	1.618336055585392e-10	-1.7863366147616915e-10	0.0	0.0	0.0	-1.1461970877619068e-09	-9.678168896343482e-12	-7.770117473522725e-10	0.0	4.707474251779087e-12	-3.6167970402201484e-11	-1.0454356856795358e-11	1.5334723361072906e-11	1.6318520589259613e-11	4.15806099622097e-11	-1.7771075054410962e-09	-9.935076607160187e-13	5.763044960509854e-10	-1.103131166230409e-09	1.6494259347930473e-11	0.0	-8.679735204691929e-10	6.075113272688553e-10	-6.227531481391429e-11	0.0	2.5155256121625298e-11	0.0	-1.0935433796082124e-09	9.060475520551683e-10	0.0	6.526302188478491e-11	1.8150872615499574e-11	-9.718067385909182e-11	0.0	7.713998321726421e-11	2.2647679672868504e-11	1.142184771051239e-11	0.0	8.05186170880764e-11	-3.8655568422227164e-11	4.1764495800531675e-10	-6.700402799798336e-10	-1.9379263748230436e-09	0.0	-6.070744410612086e-09	0.0	-8.105593921503649e-10	1.1342436330839724e-09	1.0063886716671374e-09	2.454480824464844e-11	2.785127919797913e-11	-6.056883761060913e-11
OTU_8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.575007275180806e-12	6.8392098718464565e-12	0.0	-2.3743836749778277e-10	1.1340937049589644e-11	0.0	0.0	0.0	-4.598109537073593e-11	0.0	0.0	-2.2203899308875596e-10	0.0	4.185166393360677e-12	1.2104088865055668e-11	0.0	1.9700656833447072e-11	2.7185896338447e-11	4.517320494492297e-12	-1.0730549666466559e-10	8.501674597042876e-12	-2.0423184854475332e-10	1.4218026212970858e-11	7.416286937408409e-12	0.0	-2.1218641945304834e-11	1.9076575105595025e-11	1.1790505475775226e-11	4.009116603084593e-12	0.0	1.6484716081549342e-10	-1.8674858135277945e-10	0.0	0.0	0.0	-1.132176186063489e-09	-9.918711883576142e-12	-7.742954346286319e-10	0.0	4.266654577116452e-12	-3.576009672267224e-11	-8.036420394440781e-12	1.53568514931182e-11	1.6672301507536626e-11	4.038404470870127e-11	-1.7443084640282686e-09	-1.6344137921688189e-12	5.690898480767411e-10	-1.10485592917863e-09	1.6476722095437626e-11	0.0	-8.839350439907647e-10	5.992681282882489e-10	-6.382782339637999e-11	0.0	2.5515485218145962e-11	0.0	-1.070571044650443e-09	8.920930143722077e-10	0.0	6.623883134355941e-11	1.8425809605241746e-11	-9.716637048521165e-11	0.0	7.829624432076515e-11	2.244731637840829e-11	1.1310163907192164e-11	0.0	8.109442748413715e-11	-3.719458111522605e-11	4.2756832872152537e-10	-6.79335506998495e-10	-1.9087023666250653e-09	0.0	-5.983147566090848e-09	0.0	-8.25918353279397e-10	1.1792937355472678e-09	1.0319918646861695e-09	2.508634563830155e-11	2.7891744400997737e-11	-5.509255265132995e-11
OTU_9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.954964171479499e-12	6.0425675768963745e-12	0.0	-1.9350960979939317e-10	8.454056840118659e-12	0.0	0.0	0.0	0.0	0.0	0.0	-1.6208413205745954e-10	0.0	3.4559681725346706e-12	9.543897403605494e-12	0.0	1.472662285267947e-11	2.2198326738715725e-11	0.0	-8.92608689126411e-11	6.936368989804823e-12	-1.4076487392161618e-10	1.2013821969897424e-11	6.2474180126207325e-12	0.0	-2.035701450824485e-11	1.478241617313962e-11	9.865057374594282e-12	0.0	0.0	0.0	-1.2620558307526034e-10	0.0	0.0	0.0	-9.458531249650797e-10	-9.16331637524037e-12	-6.381868050588741e-10	0.0	4.945129442806482e-12	0.0	0.0	1.3272734642235332e-11	1.2344162625983814e-11	3.4399904036904406e-11	-1.4818319639876978e-09	0.0	4.67640196330255e-10	-9.110054958523572e-10	1.2964098057204708e-11	0.0	-7.168054232239536e-10	5.414538196574526e-10	0.0	0.0	0.0	0.0	-8.749466786391855e-10	7.606024569260098e-10	0.0	6.504716992463429e-11	1.3606891488645071e-11	-8.461468883012508e-11	0.0	6.226939025834721e-11	1.8411191806974985e-11	9.536997970882007e-12	0.0	0.0	-3.7922513362147356e-11	2.851033670264291e-10	-5.314713175616052e-10	-1.5316259705948746e-09	0.0	-4.820528375901611e-09	0.0	-7.62652583528395e-10	8.042104015266918e-10	7.60812868742108e-10	0.0	3.026372523464281e-11	-3.993311893916843e-11
OTU_10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.6837137155374048e-10	7.338937289915005e-12	0.0	0.0	0.0	0.0	0.0	0.0	-1.5268847705921529e-10	0.0	2.205311946947123e-13	8.010222224029591e-12	0.0	1.0893533371724944e-11	1.9462676354854056e-11	0.0	-6.713108000790756e-11	7.047537038288695e-12	-1.3423327976775068e-10	1.1592268375981486e-11	5.438137277742813e-12	0.0	-1.942001015772682e-11	0.0	8.393602034935438e-12	0.0	0.0	0.0	-1.2478944340215387e-10	0.0	0.0	0.0	-8.59799574194837e-10	-4.834290503920275e-12	-5.982055999017965e-10	0.0	7.250567082658669e-12	0.0	0.0	9.862580653559365e-12	0.0	3.134288920788883e-11	-1.3290194209144878e-09	0.0	4.4151255599267383e-10	-8.29848330218449e-10	1.0623483729045608e-11	0.0	-5.514076799549995e-10	4.5774386270010833e-10	0.0	0.0	0.0	0.0	-7.977178491760841e-10	6.979096645910571e-10	0.0	4.920657518259109e-11	0.0	-5.838252789858818e-11	0.0	6.472515894189935e-11	1.8934420093913203e-11	9.440903679525687e-12	0.0	0.0	-2.5627419791835724e-11	2.536416701991449e-10	-8.141707787404676e-10	-1.5649289521201679e-09	0.0	-4.312256065263356e-09	0.0	-5.679555683364874e-10	7.824343824784604e-10	6.822574914389071e-10	0.0	1.1279313545140786e-11	-3.843689978969082e-11
