"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Enterobacterales Enterobacteriaceae",12308.5409716452,12.8106272742729,1.25056219253062,10.2438945866015,1.26057552453851e-24,3.02538125889243e-23
"Clostridiales Christensenellaceae",159.893747053022,8.53767013473981,1.0246798914646,8.33203638117332,7.94635195876015e-17,9.53562235051218e-16
"Bacteroidales Porphyromonadaceae",10451.317516078,2.57743775020599,0.398438396336248,6.46884882056109,9.87523323982668e-11,7.90018659186134e-10
"Erysipelotrichales Erysipelotrichaceae",2447.86923809378,2.02710571924302,0.570468700610401,3.5534039239559,0.000380280074952499,0.00208344709180457
"Desulfovibrionales Desulfovibrionaceae",3827.54833537215,1.65133874878195,0.469335027200715,3.51846474922432,0.000434051477459285,0.00208344709180457
"Verrucomicrobiales Akkermansiaceae",20965.730744416,-2.22247181582996,0.729470063231553,-3.0466936586601,0.00231373381783856,0.00925493527135424
"Bacteroidales Prevotellaceae",3084.25298182347,2.74946758427969,0.937911746046394,2.93147793048717,0.00337353335267946,0.0115664000663296
"Coriobacteriales Coriobacteriaceae",4.61283224962318,-4.77797087572872,1.75266957774227,-2.72611046394925,0.00640855468525092,0.0187651214246308
"Erysipelotrichales Erysipelatoclostridiaceae",130.548607569967,2.75297980298722,1.0214789831848,2.69509196792664,0.00703692053423656,0.0187651214246308
"Clostridiales Clostridiales_Incertae_Sedis_XIII",31.2027834991596,2.26761593536043,1.02944105222367,2.2027642383818,0.0276113699424498,0.0662672878618795
"Lactobacillales Streptococcaceae",65.6389008587402,-3.52956101118733,1.80356896932499,-1.95698699146965,0.0503489977967736,0.109127141649789
"Clostridiales Eubacteriaceae",40.5738283528354,2.56804908036012,1.33590064785774,1.92233538061251,0.0545635708248944,0.109127141649789
"Clostridiales Ruminococcaceae",2981.27300794423,-1.28599519209495,0.740230953342028,-1.73728913427476,0.0823361484965646,0.152005197224427
"Bacteroidales Rikenellaceae",1223.69309871168,-1.26305205924227,0.800789236997554,-1.57725903507133,0.114735934148255,0.191392466186588
"Bacteroidales Odoribacteraceae",350.994831120916,-0.812376066064023,0.521968690081103,-1.55636934073152,0.119620291366617,0.191392466186588
"Clostridiales Lachnospiraceae",7971.14104837195,-0.568954346975863,0.375025989630265,-1.51710644784056,0.129239810590027,0.193859715885041
"Clostridiales unknown",109.799754717871,-0.90562953860382,0.742883283634936,-1.21907378797456,0.222816187600733,0.314564029553976
"Bacteroidales Bacteroidaceae",79515.6733881364,0.295332614960823,0.311685703095033,0.947533403130703,0.343367043472795,0.457822724630393
"Bacteroidales Barnesiellaceae",758.742071274219,0.537206213591121,0.667149231604973,0.805226459301699,0.420689010417654,0.5224018011499
"Burkholderiales Oxalobacteraceae",25.3212599738494,0.985153794577624,1.26286353120919,0.780095212373689,0.435334834291583,0.5224018011499
"Clostridiales Peptostreptococcaceae",33.340635560145,-1.36712406326094,2.54383526981089,-0.537426333963272,0.590973157154748,0.675397893891141
"Acidaminococcales Acidaminococcaceae",5299.11928818348,0.13556584216212,0.471325552930328,0.287626760992014,0.773632457823461,0.843962681261957
"unknown unknown",547.417353689545,-0.310468012838883,1.55689543372367,-0.199414813682335,0.841938273546959,0.870976840703246
"Burkholderiales Sutterellaceae",5263.4554496973,-0.0723139152086825,0.445233880576299,-0.162417817608762,0.870976840703246,0.870976840703246
