"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Proteobacteria Betaproteobacteria Burkholderiales Sutterellaceae",17760.1778940817,-2.02610476479934,0.158292342245858,-12.799764891042,1.64448351615022e-37,4.27565714199058e-36
"Bacteroidetes Bacteroidia Bacteroidales Bacteroidaceae",142875.810778642,-1.42669599154055,0.126803003861088,-11.2512791345502,2.28257512197215e-29,2.9673476585638e-28
"Bacteroidetes Bacteroidia Bacteroidales Rikenellaceae",629.67013480828,2.59217756344181,0.404487729836435,6.40854436917041,1.46915526753999e-10,1.27326789853466e-09
"Firmicutes Erysipelotrichia Erysipelotrichales Erysipelotrichaceae",2049.24593390823,1.34413548373549,0.254465630930358,5.28218871374166,1.27649608678965e-07,7.84113479855958e-07
"Firmicutes Negativicutes Acidaminococcales Acidaminococcaceae",69.2990862135059,6.13106141704315,1.16746743798005,5.25159093743215,1.50791053818453e-07,7.84113479855958e-07
"Proteobacteria Deltaproteobacteria Desulfovibrionales Desulfovibrionaceae",165.642510705,5.60528291690336,1.22127255941673,4.58970675602538,4.43869143950579e-06,1.92343295711917e-05
"Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae",11828.2996461024,-0.743541699486756,0.185058460671338,-4.01787465857765,5.87254183502313e-05,0.000218122982443716
"Firmicutes Erysipelotrichia Erysipelotrichales Erysipelatoclostridiaceae",93.997732182931,3.25117953945188,0.873980198670958,3.71996933614271,0.00019924696713691,0.000641526232143056
"Firmicutes Bacilli Lactobacillales Streptococcaceae",19.6094731515048,6.18339404025696,1.67458534089721,3.69249263638246,0.000222066772664904,0.000641526232143056
"Firmicutes Clostridia Clostridiales Eubacteriaceae",22.6631341583883,5.91073833630429,1.72323398479172,3.43002655963675,0.000603522171074293,0.00156915764479316
"Firmicutes Clostridia Clostridiales unknown",65.0322989679439,3.20366086854651,0.948958967654933,3.3759740702629,0.000735548510821779,0.00173856920739693
"Firmicutes Clostridia Clostridiales Peptostreptococcaceae",24.1059362783535,7.31091631352493,2.19808417192399,3.32604019759883,0.000880892237994863,0.00190859984898887
"Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae",4.67895428265545,-4.90091510208323,1.68109433077766,-2.91531237263533,0.00355332693101782,0.00710665386203564
"Actinobacteria Coriobacteriia Eggerthellales Eggerthellaceae",7.24972004468725,3.57761735639879,1.3841395032037,2.58472310639072,0.00974572289149497,0.0180991996556335
"Verrucomicrobia Verrucomicrobiae Verrucomicrobiales Akkermansiaceae",59759.7545982831,0.342529931938841,0.135405157801837,2.52966679777537,0.0114170892708042,0.0191013860968204
"Proteobacteria Gammaproteobacteria Enterobacterales Enterobacteriaceae",30.0586571802698,2.97319047566752,1.18010719836764,2.51942406569516,0.0117546991365049,0.0191013860968204
"Firmicutes Clostridia Clostridiales Lachnospiraceae",16101.143347856,-0.564247766409308,0.232784504983366,-2.42390603468057,0.0153545778462887,0.0234834720002062
"Bacteroidetes Bacteroidia Bacteroidales Barnesiellaceae",7.12108882877533,4.65551467156236,2.15724319583813,2.1580852268043,0.0309212061336677,0.0446639644152977
"Bacteroidetes Bacteroidia Bacteroidales Odoribacteraceae",5.13564283972903,6.6553695271479,3.11588228367522,2.13595024498096,0.0326834695264119,0.0447247477729847
"Firmicutes Negativicutes Veillonellales Veillonellaceae",31.9992794813751,-7.88876721877572,5.04002874556328,-1.56522266380329,0.11753070918279,0.152789921937626
"Firmicutes Bacilli Lactobacillales Enterococcaceae",3.54623938582642,3.38766337029458,2.31366731462437,1.46419640753086,0.143140291525092,0.17722131331678
"Firmicutes Clostridia Clostridiales Clostridiaceae_1",3.11367440560377,-6.95093606951887,5.08152228701378,-1.36788459774791,0.171348201624311,0.202502420101458
"Firmicutes Clostridia Clostridiales Clostridiales_Incertae_Sedis_XIII",15.4228988042502,1.35012001262393,1.13027230223917,1.19450862411582,0.232279069236089,0.262576339136449
"Firmicutes Clostridia Clostridiales Ruminococcaceae",2979.80025372929,0.239994389078989,0.282187567293515,0.850478252393598,0.395059246418705,0.42798085028693
"Firmicutes unknown unknown unknown",3.72746731938033,3.56462818993909,4.60486601300598,0.774100306039559,0.438871476523165,0.456426335584092
"Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae",17.8388982199834,0.795760541792377,2.9039952238593,0.274022675813785,0.78406719560394,0.78406719560394
