sampleID	measurement1	measurement2	measurement3
10-D10	124971446228.46655	147657087762.4607	58661291490.919235
10-D11	143043915191.2778	215455387258.7452	293199726018.6561
10-D14	72746835530.00653	195094250365.161	69494827730.5755
10-D16	93644844758.60408	116778847248.8908	110718367253.09572
10-D18	57604658958.38921	79849198300.33678	103215068318.63036
10-D1AM	8787440405.903667	15034457656.9695	10812377331.459532
10-D1PM	49758144503.574234	109323703860.9093	112121422711.84897
10-D21AM	130502986978.10455	230374879314.46515	168095797820.3915
10-D21PM	187967460114.66306	195384947867.1706	302999336667.6187
10-D22AM	97459525397.15863	83610873385.77501	116867666912.38698
10-D22PM	44953091758.04084	89373328068.615	80746909001.49536
10-D23AM	31776736531.085014	62190966542.53469	19965360808.41053
10-D23PM	64387754561.79754	110130083918.29808	131946990169.8528
10-D24	71753967749.05775	92923731268.17546	110991350187.97693
10-D25	161542419185.3228	257409482679.2961	288858052198.62964
10-D29AM	170257410309.67072	202570016525.15173	222722460781.86426
10-D29PM	222020633338.734	446857147004.91	323145298012.66595
10-D2AM	73858363536.03934	121884763804.29845	153688988537.3757
10-D2PM	134498564739.39967	148701622943.51364	183286745796.24268
10-D30AM	149641930885.95038	302850986505.68945	311775341912.07874
10-D30PM	350208242988.2924	528188627977.7077	394284680456.8521
10-D31AM	390754810531.30096	189299416171.52304	359232401397.2883
10-D31PM	129152913122.57393	251326988905.2604	147992330401.39252
10-D32	495791896583.0835	512647036393.9931	272152058373.93005
10-D33	286801621964.0265	267185339071.3523	208354106250.0157
10-D35AM	349491308254.8291	235032841126.8763	415952609099.2372
10-D35PM	522252912507.9998	215089779815.95636	659377817549.5385
10-D36AM	132201965152.93655	58854866903.050385	186682391232.40604
10-D36PM	140876564510.4757	247516157968.59045	166281536561.178
10-D37AM	165043478391.6079	72975534475.63298	149522304289.59253
10-D37PM	1085912648177.4677	2019930187538.74	2649231668720.283
10-D38	68891172293.80852	64687738206.55751	84969329855.513
10-D39	47605005867.10419	96272432963.11836	72424731679.9673
10-D3AM	24466886723.565483	35589986699.93273	32560915392.929825
10-D3PM	129136185227.61105	130630228824.942	82982897306.17796
10-D42AM	59262492409.786514	49634039498.326	48720917739.67468
10-D42PM	30357673195.776543	36992498187.68447	48225640730.37575
10-D43AM	38763462633.90739	36416100619.29574	57808056012.075935
10-D43PM	54523382484.48149	29587640550.642757	41787381183.42681
10-D44AM	45099840901.32057	47835250424.08059	24911898447.970367
10-D44PM	28364496431.70704	51586816497.96305	47423406084.65744
10-D45AM	40224320827.01903	38683869633.21994	56338443423.42324
10-D45PM	14397264598.411978	40514421315.867935	36843020276.770805
10-D46	12639740592.14081	27104862942.408096	26493263214.59202
10-D47	20965239914.08761	38035727774.71944	39270497080.66137
10-D4AM	38545186769.58088	42397507342.39564	67740468784.28386
10-D4PM	35408038145.45117	49415783808.62296	66338830307.49818
10-D5	14261652848.726763	11146950372.815657	21264931634.30269
10-D50AM	38795232057.40025	62218563887.71144	29660248020.09283
10-D50PM	31298115469.86939	42528431805.695	49924756743.76503
10-D51AM	50156234549.25975	53234723274.2328	96632451807.52856
10-D51PM	56382440055.48463	31773865061.46932	43346659442.97905
10-D52AM	60959770593.25736	85621241392.35379	113276222309.87465
10-D52PM	103797513549.45616	60196304368.9803	90217695716.2136
10-D53	65839333748.24281	83715726749.75504	96306705376.92343
10-D54	20087568483.64436	34169595737.725437	39792549028.35815
10-D57AM	61724841877.91769	71979481239.5733	89278449267.79904
10-D57PM	169939938265.66998	309800255466.20245	285168299069.19714
10-D58AM	25185232406.376392	45924525603.4374	30081529492.194645
10-D58PM	11244261885.485876	21830862266.406708	22016044183.683342
10-D59AM	108480084184.05864	123229043429.91315	209260750245.76886
10-D59PM	20396402076.86988	22979243260.70807	33605365447.02125
10-D6	50172004756.9826	87334557808.33078	89720928565.93892
10-D60AM	38276606070.769	119011560038.54594	49011311012.62716
10-D60PM	28877560618.10668	40813022902.566055	41583989753.48748
10-D61	176191826346.9562	214194259520.0606	293990095520.19525
10-D62	190038463801.92007	149598537015.0857	207695979240.7835
10-D63	142204370965.84348	397300901756.4903	303322520374.0616
10-D64AM	69409878379.49118	171641490161.66025	211018608103.99896
10-D64PM	169001891646.09726	130647466879.635	102151084107.77383
10-D7	301360479007.3381	114643473652.03008	345134905757.6017
10-D8	185384119733.0528	272906327865.4947	227370173390.08514
10-D9	174139026605.97095	107588132439.44908	129320936983.619
6-D10	96952911341.46918	160300048733.77628	203962003445.95886
6-D11	155156779404.6989	212049462985.99698	248603667327.4619
6-D14	55784726914.28343	86154082443.94865	90212800163.47514
6-D16	102541803008.36444	177242747513.51227	192664438281.27386
6-D18	31844897344.088963	86300076771.27322	56344759453.293526
6-D1AM	4336746535.431503	8576650934.556792	6635881279.361365
6-D1PM	1061309422.1463584	1615512073.3397744	2267917333.278836
6-D21AM	61917558336.977264	90968995812.63942	115114472044.00592
6-D21PM	46436049645.06884	79123613055.11061	96837439929.13936
6-D22AM	52548011253.20244	52099157715.39246	88302560823.59648
6-D22PM	72883367437.70839	108269081674.60516	168688747967.09836
6-D23AM	32570603739.361637	45522091843.52968	38893188875.698135
6-D23PM	64763882937.22312	130558212869.59775	149139576096.9925
6-D24	53584854196.056366	103108800054.79477	127507127116.78772
6-D25	134893155484.75032	253831136097.3626	214417537970.43414
6-D28AM	114816803324.29755	173533596449.8688	153200635918.7931
6-D28PM	291283678721.6428	313482913680.8099	391597335638.8822
6-D29AM	216363792156.89774	361169364311.1188	415200918738.5298
6-D29PM	94694749505.24184	133314522014.53433	91163944664.7262
6-D2AM	35124328279.935905	34232580070.034176	38321841099.36255
6-D2PM	14130758434.720469	26593969831.8713	25543020456.55517
6-D30AM	402326582701.1736	375467102734.9713	318081285530.8292
6-D30PM	129535105985.11075	234510311237.5579	233703562820.6717
6-D31AM	170507674018.25235	259616337495.3822	256369780838.8803
6-D31PM	334124582718.6269	448551408139.9261	446745457682.4584
6-D32	60861993764.66541	80274577704.90143	77937924884.88441
6-D33	104633651688.43083	120212460752.65828	169043282949.99915
6-D35AM	84094744527.62207	162840639575.79434	89871969051.32654
6-D35PM	50363094942.22737	77086508867.10034	111084105358.93547
6-D36AM	413804253723.5089	469485391818.7821	504021571240.1221
6-D36PM	548357173501.7396	718175396030.9941	1003933365208.5508
6-D37AM	82828645068.23656	172076227423.86703	128257528728.10284
6-D37PM	41455204453.12918	89565189390.97058	94052644136.7645
6-D38	51966160036.52678	33456145116.494175	74807182657.50807
6-D39	32871937625.74161	44089321824.2341	42088802895.90772
6-D3AM	24635347552.325974	33921004416.14232	61128051102.839005
6-D3PM	22434193428.875042	55110056016.848976	54778890935.16323
6-D42AM	58343502432.973724	76560719401.77443	112535789376.3908
6-D42PM	24987660528.51773	46046427233.581436	47449079881.20731
6-D43AM	63366942198.731865	57157841945.42836	91595088066.02356
6-D43PM	13412698455.046015	23469134419.093243	23223784244.81428
6-D44AM	14100478234.342848	7971999017.815242	12556029185.157398
6-D44PM	50504848306.956116	74641049162.32489	97721002142.09918
6-D45AM	8113538696.780622	12955534937.987144	19415982650.50175
6-D45PM	11511957960.8275	22438696581.658703	27667808233.120327
6-D46	10188650126.844734	16447974217.65723	19054448250.544624
6-D47	16293313654.04406	9045748167.124607	20774197540.246758
6-D4AM	58849849267.462776	65810748033.00344	92851525803.99423
6-D4PM	137162401791.10263	81687811876.03513	144509237172.43164
6-D5	27303821391.016808	12184844723.60392	28927129233.437267
6-D50AM	29029424105.633987	45389378094.737335	54221289947.913284
6-D50PM	10850491838.701418	21951462868.05782	24474711272.346287
6-D51AM	24396696081.611687	15740545546.98759	21519797371.49989
6-D51PM	60468879193.076164	20227294896.869816	60826339011.736725
6-D52AM	18840054639.092968	26664468128.148808	22220072482.226337
6-D52PM	13386954900.123487	27103756492.25391	36099320039.153435
