mass1	mass2	mass3
2.97E+07	5.61E+07	2.44E+07
1.52E+11	3.83E+11	2.32E+11
4.10E+09	1.03E+10	1.04E+10
3.13E+09	7.57E+09	1.36E+10
1.59E+10	1.77E+10	2.36E+10
1.14E+10	2.42E+10	1.87E+10
4.28E+10	5.74E+10	8.31E+10
4.55E+10	6.76E+10	8.50E+10
1.77E+10	4.18E+10	4.05E+10
1.84E+10	2.93E+10	2.97E+10
2.44E+10	2.11E+10	3.44E+10
6.39E+10	2.40E+10	7.39E+10
1.31E+11	2.03E+11	1.11E+11
5.96E+10	1.36E+11	1.28E+11
4.13E+10	6.42E+10	8.38E+10
2.98E+10	6.59E+10	5.08E+10
1.65E+10	7.10E+10	2.50E+10
3.67E+10	6.24E+10	3.88E+10
4.52E+10	2.32E+10	2.33E+10
9.62E+10	1.72E+11	9.49E+10
2.06E+11	6.76E+10	2.55E+11
6.06E+10	1.31E+11	1.08E+11
9.16E+10	1.42E+11	1.39E+11
4.32E+10	6.51E+10	5.42E+10
7.43E+10	1.16E+11	1.16E+11
1.44E+11	2.08E+11	2.52E+11
9.00E+10	1.09E+11	1.40E+11
5.59E+10	8.31E+10	5.79E+10
6.38E+10	9.67E+10	1.06E+11
1.43E+11	1.35E+11	3.45E+11
2.20E+11	1.65E+11	2.91E+11
3.40E+11	1.18E+11	5.25E+11
2.52E+10	1.63E+10	3.16E+10
3.38E+11	3.77E+11	4.86E+11
1.38E+11	1.72E+11	2.96E+11
1.49E+11	1.26E+11	1.62E+11
2.08E+11	3.18E+11	2.59E+11
1.06E+11	2.07E+11	2.27E+11
1.36E+11	1.36E+11	1.72E+11
1.34E+11	1.11E+11	2.44E+11
1.82E+11	2.17E+11	3.07E+11
3.38E+10	6.52E+10	3.94E+10
5.69E+10	1.01E+11	9.19E+10
8.10E+10	1.18E+11	1.25E+11
9.18E+10	1.46E+11	1.38E+11
4.92E+10	1.07E+11	7.40E+10
7.22E+10	9.21E+10	8.78E+10
1.59E+10	2.90E+10	3.14E+10
1.24E+10	1.28E+10	2.00E+10
1.67E+10	2.03E+10	2.19E+10
1.74E+10	3.30E+10	3.77E+10
1.47E+10	1.41E+10	1.42E+10
9.90E+09	1.39E+10	1.29E+10
1.27E+10	1.69E+10	1.61E+10
3.10E+10	4.24E+10	7.23E+10
1.41E+10	2.36E+10	2.33E+10
