mass1	mass2	mass3
8.79E+09	1.50E+10	1.08E+10
4.98E+10	1.09E+11	1.12E+11
7.39E+10	1.22E+11	1.54E+11
1.34E+11	1.49E+11	1.83E+11
2.45E+10	3.56E+10	3.26E+10
1.29E+11	1.31E+11	8.30E+10
3.85E+10	4.24E+10	6.77E+10
3.54E+10	4.94E+10	6.63E+10
1.43E+10	1.11E+10	2.13E+10
5.02E+10	8.73E+10	8.97E+10
3.01E+11	1.15E+11	3.45E+11
1.85E+11	2.73E+11	2.27E+11
1.74E+11	1.08E+11	1.29E+11
1.25E+11	1.48E+11	5.87E+10
1.43E+11	2.15E+11	2.93E+11
7.27E+10	1.95E+11	6.95E+10
9.36E+10	1.17E+11	1.11E+11
5.76E+10	7.98E+10	1.03E+11
1.31E+11	2.30E+11	1.68E+11
1.88E+11	1.95E+11	3.03E+11
9.75E+10	8.36E+10	1.17E+11
4.50E+10	8.94E+10	8.07E+10
3.18E+10	6.22E+10	2.00E+10
6.44E+10	1.10E+11	1.32E+11
7.18E+10	9.29E+10	1.11E+11
1.62E+11	2.57E+11	2.89E+11
1.70E+11	2.03E+11	2.23E+11
2.22E+11	4.47E+11	3.23E+11
1.50E+11	3.03E+11	3.12E+11
3.50E+11	5.28E+11	3.94E+11
3.91E+11	1.89E+11	3.59E+11
1.29E+11	2.51E+11	1.48E+11
4.96E+11	5.13E+11	2.72E+11
2.87E+11	2.67E+11	2.08E+11
3.49E+11	2.35E+11	4.16E+11
5.22E+11	2.15E+11	6.59E+11
1.32E+11	5.89E+10	1.87E+11
1.41E+11	2.48E+11	1.66E+11
1.65E+11	7.30E+10	1.50E+11
1.09E+12	2.02E+12	2.65E+12
6.89E+10	6.47E+10	8.50E+10
4.76E+10	9.63E+10	7.24E+10
5.93E+10	4.96E+10	4.87E+10
3.04E+10	3.70E+10	4.82E+10
3.88E+10	3.64E+10	5.78E+10
5.45E+10	2.96E+10	4.18E+10
4.51E+10	4.78E+10	2.49E+10
2.84E+10	5.16E+10	4.74E+10
4.02E+10	3.87E+10	5.63E+10
1.44E+10	4.05E+10	3.68E+10
1.26E+10	2.71E+10	2.65E+10
2.10E+10	3.80E+10	3.93E+10
3.88E+10	6.22E+10	2.97E+10
3.13E+10	4.25E+10	4.99E+10
5.02E+10	5.32E+10	9.66E+10
5.64E+10	3.18E+10	4.33E+10
6.10E+10	8.56E+10	1.13E+11
1.04E+11	6.02E+10	9.02E+10
6.58E+10	8.37E+10	9.63E+10
2.01E+10	3.42E+10	3.98E+10
6.17E+10	7.20E+10	8.93E+10
1.70E+11	3.10E+11	2.85E+11
2.52E+10	4.59E+10	3.01E+10
1.12E+10	2.18E+10	2.20E+10
1.08E+11	1.23E+11	2.09E+11
2.04E+10	2.30E+10	3.36E+10
3.83E+10	1.19E+11	4.90E+10
2.89E+10	4.08E+10	4.16E+10
1.76E+11	2.14E+11	2.94E+11
1.90E+11	1.50E+11	2.08E+11
1.42E+11	3.97E+11	3.03E+11
6.94E+10	1.72E+11	2.11E+11
1.69E+11	1.31E+11	1.02E+11
2.75E+10	3.82E+10	4.68E+10
4.34E+09	8.58E+09	6.64E+09
1.06E+09	1.62E+09	2.27E+09
3.51E+10	3.42E+10	3.83E+10
1.41E+10	2.66E+10	2.55E+10
2.46E+10	3.39E+10	6.11E+10
2.24E+10	5.51E+10	5.48E+10
5.88E+10	6.58E+10	9.29E+10
1.37E+11	8.17E+10	1.45E+11
2.73E+10	1.22E+10	2.89E+10
2.77E+10	6.19E+10	3.04E+10
7.46E+10	1.20E+11	1.11E+11
4.35E+10	1.05E+11	1.04E+11
1.23E+11	2.30E+11	1.60E+11
9.70E+10	1.60E+11	2.04E+11
1.55E+11	2.12E+11	2.49E+11
5.58E+10	8.62E+10	9.02E+10
1.03E+11	1.77E+11	1.93E+11
3.18E+10	8.63E+10	5.63E+10
6.19E+10	9.10E+10	1.15E+11
4.64E+10	7.91E+10	9.68E+10
5.25E+10	5.21E+10	8.83E+10
7.29E+10	1.08E+11	1.69E+11
3.26E+10	4.55E+10	3.89E+10
6.48E+10	1.31E+11	1.49E+11
5.36E+10	1.03E+11	1.28E+11
1.35E+11	2.54E+11	2.14E+11
1.15E+11	1.74E+11	1.53E+11
2.91E+11	3.13E+11	3.92E+11
2.16E+11	3.61E+11	4.15E+11
9.47E+10	1.33E+11	9.12E+10
4.02E+11	3.75E+11	3.18E+11
1.30E+11	2.35E+11	2.34E+11
1.71E+11	2.60E+11	2.56E+11
3.34E+11	4.49E+11	4.47E+11
6.09E+10	8.03E+10	7.79E+10
1.05E+11	1.20E+11	1.69E+11
8.41E+10	1.63E+11	8.99E+10
5.04E+10	7.71E+10	1.11E+11
4.14E+11	4.69E+11	5.04E+11
5.48E+11	7.18E+11	1.00E+12
