	Cluster 1	Cluster 2	Cluster 3	Cluster 4	Cluster 5	Cluster 6	Cluster 7	Cluster 8	Cluster 9	Cluster 10	Cluster 11	Cluster 12	Cluster 13	Cluster 14	Cluster 15	Cluster 16	Cluster 17	Cluster 18	Cluster 19	Cluster 20	Cluster 21	Cluster 22	Cluster 23	Cluster 24	Cluster 25	Cluster 26	Cluster 27	Cluster 28	Cluster 29	Cluster 30
Cluster 1	0.0	1.2356352665372465	0.49761420000119516	inf	1.1956913317084858	0.09450189070685411	408.4215298828717	33.032248660777896	1.0792446630280006	2.489560203839678	1.1108965418561003	0.5555774149110607	4.662618029984937	10.920258955089972	inf	0.553051603786715	11.94210008556791	67.88289001615487	0.126167180449132	1.1161795819646059	358.3791295858383	0.09450189070685411	3868.8877860393786	14173.95274003486	6.501420161723744	2.0192428098749398	5.794736128054937	1.0581874631952493	10.547472804667231	2.3057896432071767
Cluster 2	0.0024139166053296964	0.0	0.0024139166053296964	0.16280704652756867	0.15302559973951627	0.00965856428038881	0.06291914533326474	0.0	0.0024139166053296964	0.04837024476290909	0.004828316090556439	0.2931589328343114	0.03868069252674942	0.5859275075689765	0.11641520323163168	2.5779707594806234	0.7876098384133167	0.028998901245524594	0.04110235263184992	0.6672270398489415	0.33030527505862856	0.10910636324973619	33.57905880709515	0.29563184619290295	1.0004610862740337	0.6290514100882081	0.5303425354510681	0.14813782878943454	1.2676812247351992	1.0424176282693864
Cluster 3	0.0024139166053296964	8.261572879001836	0.0	3.4071850271696396	4.936666481342135	0.32038854290268565	0.0024139166053296964	0.014490745729452654	0.04352449794234116	0.04594712860406183	0.004828316090556439	1.4915682462895024	0.04110235263184992	0.6290514100882081	209.06858251733388	0.14325202455133354	4.964709325439586	0.02174264530379589	0.6239702029592011	0.18484413163931523	0.2413431432716364	1.1505733077207643	2.0931458601477857	0.6672270398489415	6.015342974728271	0.7388040177880466	1.0450445630388139	0.18484413163931523	1.313218484029195	3.0289790244694625
Cluster 4	0.03383882734965781	0.019324861598632215	0.03625951748125934	0.0	0.160360946348062	0.12129021174216903	0.1188524625362165	0.019324861598632215	0.14325202455133354	0.10910636324973619	0.00965856428038881	0.36010378200483817	0.09693474753691421	0.5429535245472557	2.498374917702136	0.13592700318329964	1.246308265760395	0.012074413274983311	0.028998901245524594	0.26598988806990076	5.643324527949495	0.11154215373596696	1.7305205422191303	0.20692122356215725	0.9117660624487085	0.2931589328343114	0.8935829630611754	0.17259637442895623	3.467035759799256	0.8598842931878544
Cluster 5	0.0	0.08963764218183184	0.0	0.13348631146486073	0.0	0.0	0.012074413274983311	0.004828316090556439	0.0	0.07262814083257262	0.0024139166053296964	1.9204130761893272	0.04837024476290909	0.5505263093466539	0.06049311312454044	0.2044662343164681	1.0292911712967239	0.031418621986281293	0.09693474753691421	0.2487319375573396	0.12860640024576822	0.17504493894458076	0.6239702029592011	0.31791061578215934	0.7979091615435252	0.40244279691108464	0.5783329920116571	0.07991500155621792	1.1108965418561003	0.9899937894916203
Cluster 6	0.004828316090556439	0.7285534538014474	0.0072431986005876674	inf	1.4399694238590008	0.0	1.0109371076213836	0.0	0.012074413274983311	0.04352449794234116	0.0024139166053296964	5.169649194891215	0.06291914533326474	561.7067463266976	0.10910636324973619	2.147416584523257	3.40090004435986	1.2063307451769445	0.028998901245524594	2.0390987869518256	136.24033847255512	0.04110235263184992	375.4783494641633	68.66121840037732	1.1161795819646059	1.7888677738256957	0.8314408256458379	0.16280704652756867	2.625363548740935	1.155872967250139
Cluster 7	0.0	0.16280704652756867	0.0024139166053296964	0.08963764218183184	0.48253808841203194	0.0024139166053296964	0.0	0.0	0.0024139166053296964	0.024160913049741377	0.0024139166053296964	0.22412002387723362	0.05806756728955486	0.37005275384713543	0.06534566406203492	1.9824472320905695	1.0555577857503178	0.028998901245524594	0.06049311312454044	0.2511958644113609	0.13104611053502396	0.09450189070685411	117.76067371099582	0.23641976747037147	0.9403929403905834	0.3129562675746079	0.46748041854958317	0.07505660710577197	1.09506067607403	0.8935829630611754
Cluster 8	0.0024139166053296964	1.819535783183228	0.17504493894458076	0.08963764218183184	17.600671582297878	6.019110103053037	0.5278218840437371	0.0	0.4775168177154984	4.734960945475393	0.04110235263184992	84.98057217023258	8.995371592466409	2.2306851985625	34456.937728851364	0.6062023858010713	4.485033866737317	0.21920360164503	5.377496012845704	0.8495337190968071	inf	0.11397843368075022	4617.546351073239	inf	26.3479835602162	0.5051591820338729	2.834699574886905	0.743932469732069	13.249790825965793	17.840208101032946
Cluster 9	512.235517567567	1.1241082889406362	0.0072431986005876674	0.6188910804279907	1.227636405439129	0.03868069252674942	0.5278218840437371	0.3129562675746079	0.0	0.031418621986281293	0.0024139166053296964	0.2511958644113609	0.02174264530379589	7.584567533030582	0.11641520323163168	0.07020016166523493	1553.4287469934807	0.48002719700712587	0.17259637442895623	0.35513232469003425	48249.36752124658	0.07748556063143383	0.2561252121629734	1252.9400804924956	1.7693894718643755	0.30057917513547344	1.1267522977773152	0.07505660710577197	1.155872967250139	1.6146104331276705
Cluster 10	0.0072431986005876674	0.15302559973951627	0.0	0.06291914533326474	0.3104798461825016	0.0024139166053296964	0.0072431986005876674	0.012074413274983311	0.00965856428038881	0.0	0.026579664981840827	0.2832722832715732	0.03868069252674942	0.46998875095403236	0.9273726158438116	0.6341347030986308	2.7116929541778148	0.07748556063143383	4.2460702253634395	0.2511958644113609	0.46748041854958317	0.06049311312454044	2.834699574886905	1.617358124396324	0.8702434462876802	0.29563184619290295	1.6751953947933775	0.17749399677430133	1.2650076367156846	0.8572958457994441
