	Cluster 1	Cluster 2	Cluster 3	Cluster 4	Cluster 5	Cluster 6	Cluster 7	Cluster 8	Cluster 9	Cluster 10	Cluster 11	Cluster 12	Cluster 13	Cluster 14	Cluster 15	Cluster 16	Cluster 17	Cluster 18	Cluster 19	Cluster 20	Cluster 21	Cluster 22	Cluster 23	Cluster 24	Cluster 25	Cluster 26	Cluster 27	Cluster 28	Cluster 29	Cluster 30
Cluster 1	0.0	5.377772119155743e-12	-8.108767497823597e-14	5.644081694624537e-10	5.332449015470752e-12	-2.077276063012037e-14	-4.877992434531818e-11	1.119857071512115e-11	8.496018676126245e-13	4.0612312372133177e-11	9.7360970342007e-13	-1.7628621035571684e-11	-4.452609905679187e-11	-4.0164848167948627e-10	8.822150531371337e-10	-8.573734267029075e-12	-1.4295809648416487e-09	-1.5545966411554828e-10	7.573204252088546e-13	-2.3657066022502455e-11	-8.266607343258766e-10	-7.054040986504084e-13	-3.093279228526768e-09	2.693368037995312e-09	7.839515217589601e-10	9.677541445989622e-11	-3.6829184405988377e-10	1.6247746768389044e-11	1.882137666539141e-09	2.1103697523551313e-10
Cluster 2	-3.7536058453915697e-16	0.0	-5.588665621778476e-16	-2.3689698457903596e-12	-1.1569957865793252e-12	-5.0388240207735114e-15	-1.235386015195074e-13	0.0	2.6576106725444245e-16	-3.610297934588909e-13	-2.934182456471105e-15	-6.9877233398705925e-12	-1.7638527326989757e-13	-3.5192647222336183e-11	-9.750941314715988e-13	-1.1474891029492244e-10	-7.164329933560998e-11	1.683513457931156e-14	-2.309500931624746e-13	-3.914638385335915e-11	-8.401254354459919e-12	-1.119192148422905e-12	-2.1630301186407973e-09	7.596615009982653e-14	-8.994692698175361e-11	-4.2290442283043777e-11	-3.556933246745301e-11	-2.4219268185823056e-12	-1.4951138749795398e-10	-1.127158860578522e-10
Cluster 3	4.153207413896018e-16	6.157638771539397e-11	0.0	-6.798692175970638e-11	-2.579103518340856e-11	-3.067330191773085e-13	-1.0712461731256944e-15	1.0297891063498633e-14	5.448853400846546e-14	-2.9219382575576775e-13	1.4221800269355968e-15	1.157202315973992e-10	-2.5233172414325453e-13	-4.696325476203474e-11	5.225334534216074e-10	-1.1074033030931488e-12	8.060888113832263e-10	4.004402340612342e-14	-1.4179177017068125e-11	2.616505539615502e-12	5.311454940967723e-12	-3.298609350359463e-11	-1.7825727646374404e-10	4.280792154949325e-11	-1.3144295659212143e-09	6.100558323572552e-11	6.261772252417572e-11	-5.508865780379591e-12	2.045658087750067e-10	-6.448073501278411e-10
Cluster 4	-5.649931412129444e-15	2.2488255732905965e-14	-1.526998410893702e-14	0.0	-1.306396562530741e-12	-9.833951793916945e-14	-2.348554935491082e-13	-1.9473574111673347e-14	-1.577161351191751e-13	-8.41658203917385e-13	-6.074374003259379e-15	-1.1203950154159965e-11	-5.246607747315563e-13	-2.8017405721158258e-11	-3.694125306266696e-11	-1.3925377740294305e-12	1.655086404998805e-10	-1.6261606099781813e-14	-1.2227072857723922e-13	-4.193185236844658e-12	-1.9209309759303424e-10	1.1354434927554024e-12	-1.316269907134051e-10	-9.958343612458943e-13	-5.0154048311663185e-11	2.1444015940352711e-13	-2.1635677818707376e-11	3.1785463885914143e-12	-8.478073000071609e-10	-2.518639135624903e-11
Cluster 5	0.0	3.6918935160727983e-13	0.0	-9.038083732773811e-13	0.0	0.0	-9.888456387828084e-15	2.4353809122023e-15	0.0	-3.200623355051882e-13	-5.48945852449381e-15	-2.3105998211081388e-10	-2.745992803775983e-13	4.1972544226293416e-11	-3.3493697561273495e-13	-4.287157190569873e-12	-1.0348069392426986e-10	-1.7459056066234662e-13	-9.080324016105982e-13	1.727267157689306e-12	-7.005452080370218e-14	-3.2577733891707345e-12	-4.7181156301046135e-11	-8.583929193163025e-12	-6.10248952830193e-11	-1.578470351173623e-11	1.783226280637085e-11	-5.610911352925547e-13	1.2146177367479939e-10	-9.312589946735339e-11
Cluster 6	-5.560283990028646e-16	-2.2697240619805076e-12	-1.544936591574426e-15	1.1222451589976838e-09	-2.4230053020560306e-11	0.0	-1.5211874614633206e-12	0.0	-6.601600194208284e-15	3.5911320506904297e-13	1.8235864841293385e-15	2.700824788831413e-10	-4.425445798870334e-13	-2.759173673460175e-09	6.744497514262477e-13	-7.323872120226712e-11	3.5388587940243305e-10	9.087134849293332e-12	-8.200257358104846e-14	-9.824896103783272e-11	-7.891495227664988e-10	2.1512082035839713e-13	-2.9435039981094812e-09	1.5080198753383006e-09	9.456429253261206e-11	-9.171439128585829e-11	3.5890683786654163e-11	-1.8001766926913332e-12	-4.994024792463311e-10	9.892471259618152e-11
Cluster 7	0.0	7.549412868728979e-13	4.038391747331844e-16	8.539126049526412e-13	1.367736092790293e-11	-9.69934371249339e-16	0.0	0.0	6.995461059333485e-16	-8.815699266659179e-14	1.4514657168528022e-15	3.569472333279833e-12	-2.8552483232977205e-13	-1.606575765004701e-11	6.645540890310245e-13	-9.346136875948306e-11	1.1186822691361342e-10	-1.5247452384988782e-13	9.019123857271813e-14	-7.720504676996245e-12	-1.1874162199213064e-12	-6.775992133585296e-13	-3.488459091346509e-09	-1.5069599073226205e-13	8.120867242025882e-11	-7.262957127482473e-12	6.459607107504873e-12	3.9898065670367535e-13	9.483662503869773e-11	4.5225761528374345e-11
Cluster 8	-2.9322767652037237e-16	4.163073524010372e-12	5.070999593685453e-14	4.4234859382428073e-13	1.9131074895840623e-10	3.1544755592976623e-12	-5.615861455460438e-13	0.0	4.069938988248596e-13	8.206061619494286e-11	2.5649828991945824e-14	-1.2770836038837091e-09	-8.823913218064421e-11	8.832798160531794e-11	7.025289721371606e-10	-5.724055952448187e-12	4.6565672252023413e-10	1.2276214880831581e-12	6.442887039093005e-11	2.1613871954564422e-11	-2.181723962496768e-09	-7.630141853538564e-13	-2.964442684850087e-09	3.496300617748206e-09	2.980045637893618e-09	-1.3272124770932752e-11	-1.9335522974484566e-10	1.240441705292954e-11	2.3006881966038327e-09	2.746224924085411e-09
Cluster 9	-4.5806080915573325e-12	1.519074604404994e-11	-9.978100148303363e-16	7.0767236466094814e-12	-8.972511552104492e-11	1.2306149604714492e-14	-8.489033943458974e-13	-2.427457918071831e-13	0.0	1.6556481999771553e-13	-8.798412826689523e-16	-3.2955911725649535e-12	-1.8091492456024566e-13	-3.8044528869923886e-10	5.85257127993076e-13	6.72217627886397e-13	1.0448809707701596e-08	3.830300123285669e-12	1.6089764848929114e-12	-9.330521449513644e-12	-1.3983163400796296e-09	5.480226226950945e-13	-5.305002904370943e-12	2.3078969135769212e-09	2.1396115895705768e-10	5.413083657353806e-12	6.372025003133107e-11	2.8421130192316756e-13	7.742441122805784e-11	2.1554334582294384e-10
Cluster 10	-9.768599507395816e-16	-7.49292765044667e-13	0.0	7.354262147532281e-13	-6.383899684235618e-12	-6.952422451022752e-16	2.3299771210174647e-15	9.659151184572137e-16	-1.4325425554976615e-15	0.0	-3.31027635661144e-14	-5.622457300005659e-12	1.4998875060984616e-13	-2.8351770991166e-11	1.4886610189905535e-11	-2.130812633894179e-11	-4.76185969214044e-10	1.036612264905885e-12	1.0649584770650276e-10	1.4984869963810316e-12	-2.1863297697812947e-11	3.2052987148997613e-13	-2.792167581393967e-10	-1.307030733056941e-10	-7.83042023798323e-11	6.063600246409345e-13	1.861799401585232e-10	-3.085355606030487e-12	1.4051898999013346e-10	5.558477700516662e-11
Cluster 11	-5.053626888677618e-14	1.0551469342817635e-13	-8.213673801142336e-14	8.665753737976645e-13	1.1318564537733562e-11	2.6833896425659244e-14	-1.9009277779585826e-11	2.3822581632522726e-13	2.2162795176610178e-12	3.8758046791817086e-12	0.0	3.265681265269207e-12	-1.1326788421842133e-11	1.268908728701454e-10	2.386552631994554e-09	6.969835644693986e-13	-5.984772229154698e-11	-3.6777365625729903e-10	6.515743330462658e-13	2.386603741982028e-12	-3.7247175574433773e-09	3.18787180070892e-11	-1.5888697472828672e-09	3.308591186718605e-09	6.926040945123903e-10	-3.349965906464223e-11	-5.622434396894486e-10	4.5516724253844014e-12	6.487407614984127e-10	2.401111718084515e-10
Cluster 12	1.370288931406933e-15	-5.275867976657098e-12	2.4593424705021303e-15	-1.847143560705864e-11	1.2709488819641164e-11	-2.986043683598715e-14	3.430712549549651e-15	7.619124059145124e-15	-1.1391823046945427e-14	2.4199236871096913e-12	1.0365303528694089e-14	0.0	3.242953218220613e-13	-2.4274120366486967e-12	-4.276569268586627e-12	-3.279195887657227e-13	-1.3840981567833937e-09	-6.080799149113382e-13	2.5955855059824986e-12	-4.6444095089698304e-11	-1.6498732927716353e-10	-2.7398277038303313e-11	-5.092522568559202e-11	-7.468244356085643e-11	-1.0030457710091675e-10	-6.661942314495793e-11	-3.3540984304703755e-10	-3.375232417029979e-12	3.8325510758755364e-11	-5.6702561164263426e-11
Cluster 13	-5.686617820217846e-13	-3.5532286667690814e-12	-6.741969509154841e-15	2.5110197943341416e-11	-3.21499845183819e-11	8.711462334004676e-14	-8.938177843999047e-12	6.755775493925051e-14	-1.9856348692517897e-15	5.507131940886603e-09	-1.8921746498317106e-13	2.4911520915937876e-09	0.0	-5.345541457699117e-10	1.658691583867363e-12	-1.1616717725903457e-10	1.7330085350410303e-11	-5.595288535632145e-12	7.317068355227785e-11	1.7480444867836205e-11	-2.7289826054261223e-11	1.8149373704393347e-10	-2.7685855854131274e-09	-3.3098579169429634e-10	-5.736545928980441e-10	4.7181532141500855e-11	-1.5037771571122218e-10	-6.5187006751592655e-12	1.2964197913207527e-10	1.7028568888960223e-10
Cluster 14	0.0	-1.7615155959505e-14	0.0	-1.5590285605823357e-13	-1.1863730154430602e-12	-2.1938612143621294e-14	-9.157893370073542e-15	1.2849064615362027e-15	-1.5363193044576528e-15	-6.1508076432667605e-15	8.336408700579247e-15	-5.9399115822517284e-12	-8.213531952298645e-15	0.0	-1.0875466209895337e-13	-7.530192855876012e-11	-6.608976220070679e-11	-8.828101672668482e-14	-8.205664483795976e-12	-2.2700289714955686e-11	-5.472177906496456e-12	2.2603576955192502e-13	-4.323097134107912e-09	3.580050096726978e-11	-1.703800525267622e-10	7.819476027591449e-11	-6.406510945089291e-11	2.1165582013222184e-11	2.022676982261289e-11	-1.8553921527160794e-10
