	Cluster 1	Cluster 2	Cluster 3	Cluster 4	Cluster 5	Cluster 6	Cluster 7	Cluster 8	Cluster 9	Cluster 10	Cluster 11	Cluster 12	Cluster 13	Cluster 14	Cluster 15	Cluster 16	Cluster 17	Cluster 18	Cluster 19	Cluster 20	Cluster 21	Cluster 22	Cluster 23
Cluster 1	0.0	-5.374431048376861e-12	1.4785036759563277e-10	2.980669427782481e-13	-3.094357841338294e-09	1.789179176082264e-13	-1.6776327179528727e-10	1.5083017972450257e-11	-5.077202233824497e-11	-1.390807393833995e-10	-6.174293527385229e-11	-4.289585256449268e-12	1.9190506678963713e-11	-3.226621385660751e-12	-2.9026170671182746e-10	-2.4344184239796637e-10	-1.616062388660817e-09	-4.722049202017087e-12	1.824735646712967e-09	2.190092020224862e-10	-9.898784681533171e-12	2.752460563760507e-10	5.697892967470359e-09
Cluster 2	8.942051486119788e-15	0.0	-9.196893918023691e-11	5.195698756557979e-12	-9.096582589885396e-09	1.979812007489704e-12	-4.187318581508076e-11	4.728923589455593e-14	-1.7258359185666937e-10	-7.721894620830311e-11	-4.3423539444870917e-13	-2.3331724069185344e-14	9.008662878398536e-13	1.984028679489483e-12	6.218176702083088e-11	-4.235820568747601e-13	-1.2431879734907466e-09	4.10681067513352e-11	1.363229460050342e-09	7.799121366514942e-10	-2.5782662362505224e-11	3.3371779649382295e-10	1.2222424649869522e-10
Cluster 3	-9.38787294285339e-15	-1.5628329070631265e-15	0.0	5.301124631508817e-16	-8.337673966859304e-11	6.1013345254661246e-15	-9.930209306347893e-13	-2.597533081956031e-15	8.246675665925121e-11	-6.054394376281465e-14	-1.724624527085268e-10	-1.83977392976562e-12	3.7977765247135945e-14	4.2697992404125445e-14	-2.0107830701427161e-13	-1.2992234374592203e-11	-1.2588759465078557e-09	1.0151519284252419e-12	2.6705120270348614e-11	-2.0610244757719826e-11	-6.982955531818566e-10	-6.693341319232504e-10	2.8316868297180753e-11
Cluster 4	-1.2831345594444514e-12	-1.4787385051058862e-12	2.1720791449162915e-10	0.0	1.2027630636713832e-10	-1.389156951796105e-11	2.0854647102563616e-12	1.5468342163848652e-12	-1.5687735022438671e-10	-2.590301501601335e-12	-3.905277460176657e-11	1.100122790357533e-12	1.2914368073780092e-11	-7.566378106147156e-12	6.560886922716473e-13	-4.5123852620751643e-10	-1.4482919344521498e-09	-5.824468016867823e-12	1.6239016689997504e-09	2.4132207019001483e-09	-6.843137418227126e-11	3.1257542385449363e-11	1.0071292286712765e-08
Cluster 5	1.9025332324447644e-16	-1.418632120134167e-14	-1.5358350657128438e-13	2.1997475631806567e-15	0.0	-7.521637233577641e-15	1.9164056428227625e-13	4.5198046509030205e-14	-1.0312737852459237e-11	2.0237135667246268e-12	1.9204593836154075e-13	1.9743059791150804e-13	3.3058675673984264e-12	1.0565504275325519e-14	-1.1118148796372658e-10	-2.1113990427609526e-15	-1.603174681274951e-11	1.824321852915966e-12	2.1219211309323985e-12	-4.565103749428604e-11	1.4037401997352575e-11	2.304656093844002e-11	-3.1690145987257566e-09
Cluster 6	-1.6572441549408447e-16	-1.473191175315842e-14	-6.445355107409684e-14	1.1732032940580121e-15	-4.005189271121559e-12	0.0	3.457705013102595e-13	1.1556994234753613e-14	-5.1125770107294965e-12	3.121702048393659e-14	-3.781820404900652e-13	1.786152295753021e-13	7.409179687421195e-13	-4.703598121886951e-13	-2.5527444088514483e-11	-1.777440508007675e-10	-1.659686880443425e-09	-1.8482458863253365e-12	2.2631216753891678e-11	1.6506949624144128e-10	-5.811404660828448e-12	3.3811330351532777e-11	7.762518402589165e-09
Cluster 7	0.0	-4.6919259878100553e-14	1.90935932775672e-13	-2.8241562030250105e-16	9.472100209581834e-10	9.854195625723354e-15	0.0	-5.924250830204427e-16	1.6769040527770602e-12	-9.913961756688686e-13	1.8873930409842423e-13	4.966444371433798e-13	-5.967397349398962e-14	2.1341807113800667e-13	-6.040964124482895e-12	-3.3535263940057896e-13	-1.0099271142277502e-10	-5.447479724904412e-13	1.1888114322764289e-11	-2.0729173205349645e-11	2.2000548755814927e-12	7.278398379462982e-12	9.690661669259868e-12
Cluster 8	8.665224410766589e-15	-1.4913594632307714e-12	7.902133965127098e-12	1.9050275604078585e-12	-7.24702168391513e-11	-3.0601416450523513e-12	6.608916343867096e-13	0.0	-4.2713260549421184e-11	-1.2046571924594503e-12	-5.520361240003134e-11	-2.560042841472815e-12	1.5964053235446995e-12	-2.700339969953833e-12	-2.708781715429589e-10	-5.418358217825497e-10	-1.8344224375509464e-09	-6.328985964527551e-13	2.17733115636832e-09	-1.016674034224082e-10	-1.2079033390434114e-10	-3.1422786041318524e-10	8.764602453737426e-09
Cluster 9	-1.3953550876581542e-16	-3.5711333125685633e-13	-6.53925696049411e-11	8.634741923986308e-15	-3.6310868415024946e-11	-1.6451802202755235e-13	-2.8192482499665814e-13	1.1269458928610213e-14	0.0	1.9959242256905481e-13	-1.3847701380058306e-11	-1.8781407788968333e-12	3.9443196106454587e-13	2.1653745606137192e-13	-5.0571586963992244e-11	1.1313771769825821e-13	-3.940843816324133e-11	4.817432755263487e-12	-1.8827134306128467e-12	-9.745261970096361e-11	-6.184584161306646e-11	-1.289781350093635e-09	-1.4795609814241968e-10
Cluster 10	0.0	-2.0765597535077375e-13	-3.137619409932682e-15	1.0042495516920029e-15	5.1807029517448854e-12	-2.7545711578485096e-13	-3.2339169275239008e-12	4.1626995464538945e-14	-3.148561149807031e-13	0.0	-2.6547966706004376e-12	-3.291351800206331e-12	2.8492304294630088e-12	-5.781108237953844e-15	-4.626217729434467e-11	-1.6784897727542512e-11	-2.654016621883272e-09	7.545301221911924e-13	2.0784977307284607e-11	4.6839131596366124e-11	1.2416338059508865e-10	9.056001870982502e-12	-1.0875179367112714e-10
