ID	Length	Taxa_id	Species	Lineage
S000388840	1411	105851	Acidilobus aceticus	Root; Archaea; Crenarchaeota; Thermoprotei; Acidilobales; Acidilobaceae; Acidilobus
S000870881	1451	666510	Acidilobus saccharovorans	Root; Archaea; Crenarchaeota; Thermoprotei; Acidilobales; Acidilobaceae; Acidilobus
S000469465	1466	200415	Caldisphaera lagunensis	Root; Archaea; Crenarchaeota; Thermoprotei; Acidilobales; Caldisphaeraceae; Caldisphaera
S000385988	1358	229980	Aeropyrum camini	Root; Archaea; Crenarchaeota; Thermoprotei; Desulfurococcales; Desulfurococcaceae; Aeropyrum
S000413953	1444	56636	Aeropyrum pernix	Root; Archaea; Crenarchaeota; Thermoprotei; Desulfurococcales; Desulfurococcaceae; Aeropyrum
S000540507	1395	228748	Desulfurococcus amylolyticus	Root; Archaea; Crenarchaeota; Thermoprotei; Desulfurococcales; Desulfurococcaceae; Desulfurococcus
S002949861	1461	1150674	Desulfurococcus amylolyticus	Root; Archaea; Crenarchaeota; Thermoprotei; Desulfurococcales; Desulfurococcaceae; Desulfurococcus
S000433091	1331	114376	Ignicoccus pacificus	Root; Archaea; Crenarchaeota; Thermoprotei; Desulfurococcales; Desulfurococcaceae; Ignicoccus
S000645228	1491	334771	Ignisphaera aggregans	Root; Archaea; Crenarchaeota; Thermoprotei; Desulfurococcales; Desulfurococcaceae; Ignisphaera
S000381428	1442	2280	Staphylothermus marinus	Root; Archaea; Crenarchaeota; Thermoprotei; Desulfurococcales; Desulfurococcaceae; Staphylothermus
S000414794	1316	52001	Stetteria hydrogenophila	Root; Archaea; Crenarchaeota; Thermoprotei; Desulfurococcales; Desulfurococcaceae; Stetteria
S000381422	1422	54250	Thermodiscus maritimus	Root; Archaea; Crenarchaeota; Thermoprotei; Desulfurococcales; Desulfurococcaceae; Thermodiscus
S000381424	1432	54254	Thermosphaera aggregans	Root; Archaea; Crenarchaeota; Thermoprotei; Desulfurococcales; Desulfurococcaceae; Thermosphaera
S004070520	1499	1184251	Thermogladius calderae	Root; Archaea; Crenarchaeota; Thermoprotei; Desulfurococcales; Desulfurococcaceae; Thermogladius
S000381427	1351	54256	Pyrodictium abyssi	Root; Archaea; Crenarchaeota; Thermoprotei; Desulfurococcales; Pyrodictiaceae; Pyrodictium
S003751201	1317	54256	Pyrodictium abyssi	Root; Archaea; Crenarchaeota; Thermoprotei; Desulfurococcales; Pyrodictiaceae; Pyrodictium
S003751202	1334	35616	Pyrodictium brockii	Root; Archaea; Crenarchaeota; Thermoprotei; Desulfurococcales; Pyrodictiaceae; Pyrodictium
S000381423	1372	54252	Pyrolobus fumarii	Root; Archaea; Crenarchaeota; Thermoprotei; Desulfurococcales; Pyrodictiaceae; Pyrolobus
S000860299	1269	683846	Fervidicoccus fontis	Root; Archaea; Crenarchaeota; Thermoprotei; Fervidicoccales; Fervidicoccaceae; Fervidicoccus
S000414084	1463	12915	Acidianus infernus	Root; Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus
S000414085	1462	2283	Acidianus ambivalens	Root; Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus
S000490132	1473	619593	Acidianus sulfidivorans	Root; Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus
S000414134	1461	79601	Metallosphaera hakonensis	Root; Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Metallosphaera
S000414766	1420	47304	Metallosphaera prunae	Root; Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Metallosphaera
S002163764	1430	1006006	Metallosphaera cuprina	Root; Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Metallosphaera
S004220518	1430	1532350	Metallosphaera tengchongensis	Root; Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Metallosphaera
S000414089	1457	41675	Stygiolobus azoricus	Root; Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Stygiolobus
S000413540	1493	2285	Sulfolobus acidocaldarius	Root; Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Sulfolobus
S000414088	1433	47303	Sulfolobus metallicus	Root; Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Sulfolobus
S004056769	1495	523848	Saccharolobus shibatae	Root; Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Saccharolobus
S000382044	1493	73007	Sulfolobus yangmingensis	Root; Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; unclassified_Sulfolobaceae
S000469187	1465	76887	Caldivirga maquilingensis	Root; Archaea; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Caldivirga
S000384778	1498	181486	Pyrobaculum calidifontis	Root; Archaea; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Pyrobaculum
S000385166	1472	99007	Pyrobaculum oguniense	Root; Archaea; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Pyrobaculum
S000414322	2210	13773	Pyrobaculum aerophilum	Root; Archaea; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Pyrobaculum
S000414323	1474	2277	Pyrobaculum islandicum	Root; Archaea; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Pyrobaculum
S000433096	1380	121277	Pyrobaculum arsenaticum	Root; Archaea; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Pyrobaculum
S000469148	1433	70771	Pyrobaculum neutrophilum	Root; Archaea; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Pyrobaculum
S000469450	1426	2278	Pyrobaculum organotrophum	Root; Archaea; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Pyrobaculum
S000469144	1469	62609	Thermocladium modestius	Root; Archaea; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Thermocladium
S000469433	1476	164451	Vulcanisaeta distributa	Root; Archaea; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Vulcanisaeta
